,sent_type,university,sent_id,aligned_to,sentence,cs_word_id,preceding_zh,first_cs_word_zh,preceding_zh first_cs_word_zh,zh_deprel + word and governor ,eng_translation,preceding_eng,first_cs_word_eng,preceding_eng first_cs_word_eng,eng_deprel + word and governor ,,
35,non-code-switch,CMU,7558,CMU_31,包含 哪些 东西 ？,2,包含,哪些,包含 哪些,det 哪些 东西,What does it include?,</s>,What does,</s> What does,obj What include,,
37,non-code-switch,CMU,2815,CMU_33,在我看来 没 缺点 了 ！,2,在我看来,没,在我看来 没,dep 没 ！,It looks perfect to me!,looks,perfect,looks perfect,xcomp looks perfect,,
39,non-code-switch,CMU,252,CMU_35,有 专人 负责 接受 、 保管 包裹 ， 提供 免费 上门 维修 活动 。,2,有,专人,有 专人,nsubj 专人 负责,"Special person is responsible for accepting and keeping the parcel, and provides free on-site maintenance activities.",</s>,special,</s> special,amod Special person,,
41,non-code-switch,CMU,4866,CMU_36,希望 能 方便 上学 就好 。,4,方便,上学,方便 上学,ccomp 方便 上学,I hope it's convenient to go to school.,to,go to school,to go to school,csubj convenient go,,
43,non-code-switch,CMU,4251,CMU_45,诚心 想 租 的 话 价格 好 商量 。,3,想,租,想 租,acl 租 话,"If you sincerely want to rent, the price is easy to discuss.",to,rent,to rent,xcomp want rent,,
45,non-code-switch,CMU,2975,CMU_46,就近 有 公交 车站 和 校 车站 。,4,公交,车站,公交 车站,conj 车站 车站,There is a bus stop and a school stop nearby.,bus,stop,bus stop,conj stop stop,,
47,non-code-switch,CMU,3821,CMU_49,设施 : 床 ， 桌子 ， 网络 ， 水电 都 有 ， 还有 空调 !,3,:,床,: 床,nmod:topic 床 有,"Facilities: bed, table, Internet, water and electricity, and air conditioning!",: ,bed,:  bed,dep Facilities bed,,
49,non-code-switch,CMU,7651,CMU_53,喜欢 挑战 和 尝试 新鲜 事物 ；,2,喜欢,挑战,喜欢 挑战,conj 挑战 尝试,Like challenges and try new things;,like,challenges,like challenges,root challenges,,
51,non-code-switch,CMU,4559,CMU_56,有 阳台 、 前后 花园 。,4,、,前后,、 前后,compound:nn 前后 花园,It has a balcony and front and rear gardens.,and,front and rear,and front and rear,conj balcony front,,
53,non-code-switch,CMU,5972,CMU_57,打扰 了 ， 搬家 出 家具 ， 价格 如图 下 ， 可 议 5 .,4,，,搬家,， 搬家,ccomp 打扰 搬家,"Excuse me, move out of the furniture, the price as shown below, negotiable 5.",",",move,", move",parataxis Excuse move,,
55,non-code-switch,CMU,2757,CMU_62,我的 书桌 和 沙发 ， 还有 一 个 小 冰箱 房 饮料 和 啤酒 ， 都 在 客厅 ， 和 卧室 就 一墙之隔 ， 我们 客厅 不 住 人 ， 所以 活动 空间 很大 。,10,小,冰箱,小 冰箱,compound:nn 小 冰箱,"My desk and sofa, there is a small refrigerator room drinks and beer, are in the living room, and the bedroom is separated by a wall, we do not live in the living room, so the activity space is very large.",small,refrigerator,small refrigerator,compound refrigerator room,,
57,non-code-switch,CMU,4714,CMU_64,有 兴趣 看 房间 照片 的 请 邮件 联系 。,2,有,兴趣,有 兴趣,nsubj 兴趣 看,"If you are interested in seeing a photo of the room, please contact us by email.",are,interested ,are interested ,advcl interested contact,,
59,non-code-switch,CMU,6327,CMU_67,我 会 保留 一 个 星期 。,6,个,星期,个 星期,dobj 保留 星期,I'll keep it for a week.,a,week,a week,obl keep week,,
61,non-code-switch,CMU,6434,CMU_68,话 不 多 说 ， 直接 上 链接 ！,3,不,多,不 多,advmod 多 说,"Words do not say much, directly on the link!",", ",much,",  much",obj say much,,
63,non-code-switch,CMU,1904,CMU_69,公寓 有 空调 ， 厨房 家电 设备 齐全 ， 同时 房屋 管理 公司 的 维修 处理 也 非常 及时 。,3,有,空调,有 空调,dobj 有 空调,"The apartment is air-conditioned, the kitchen appliances are fully equipped, and the building management company is very prompt in handling repairs.",is,air-conditioned,is air-conditioned,root air-conditioned,,
65,non-code-switch,CMU,2480,CMU_76,还有 一 名 男 访问 学者 。,2,还有,一,还有 一,nummod 一 学者,There is also a male visiting scholar.,also,a,also a,det a male,,
67,non-code-switch,CMU,5643,CMU_79,空间 更大 ， 且 有 空调 ， 窗外 视野 很 好 。,2,空间,更大,空间 更大,dep 更大 有,"Bigger space, air conditioning and a great view.",</s>,bigger,</s> bigger,amod Bigger space,,
69,non-code-switch,CMU,5238,CMU_83,周围 邻居 极其 友好 ， 治安 也 非常 好 ， 居住 环境 安全 。,2,周围,邻居,周围 邻居,nsubj 邻居 友好,"Neighbors are extremely friendly, public security is also very good, living in a safe environment.",</s>,neighbors,</s> neighbors,nsubj Neighbors friendly,,
71,non-code-switch,CMU,6189,CMU_84,近期 换 过 四 个 轮胎 。,2,近期,换,近期 换,root  换,I've changed four tires recently.,I’ve,changed,I’ve changed,root changed,,
73,non-code-switch,CMU,1032,CMU_85,客厅 不 住 人 ， 是 日常 居家 活动 区域 ， 且 家具 电视 音响 设施 齐全 ， 餐厅 厨房 亦然 。,7,是,日常,是 日常,amod 日常 活动,"The sitting room does not live a person, it is daily area of activity that occupies the home, and furniture TV acoustics establishment is all ready, dining-room kitchen also.",is,daily,is daily,amod daily area,,
75,non-code-switch,CMU,5765,CMU_87,新生 在 寻找 一 室 一 厅 的 公寓 有 推荐 的 房屋 公司 吗 ？,13,的,房屋,的 房屋,compound:nn 房屋 公司,Are there any recommended housing companies for new students looking for a one-bedroom apartment?,recommended,housing,recommended housing,compound housing companies,,
77,non-code-switch,CMU,861,CMU_89,押金 为 一 个 月 的 房租 。,4,一,个,一 个,mark:clf 一 个,The deposit is one month's rent.,is,one,is one,nummod one month,,
79,non-code-switch,CMU,2566,CMU_92,环境 安全 。,1,</s>,环境,</s> 环境,nsubj 环境 安全,Environmental safety.,</s>,environmental,</s> environmental,amod Environmental safety,,
81,non-code-switch,CMU,663,CMU_93,匹 大 时间 稍 久 一点 ， 坐 公交 也 很 方便 。,8,，,坐,， 坐,dep 坐 方便,"For a little longer time, the bus is also very convenient.",the ,bus,the  bus,nsubj bus convenient,,
83,non-code-switch,CMU,4512,CMU_95,如果 有 特殊 需要 ， 也 可以 跟 房东 要求 。,9,跟,房东,跟 房东,nmod:prep 房东 要求,"If you have special needs, you can also ask the landlord.",ask,the landlord,ask the landlord,obj ask landlord,,
85,non-code-switch,CMU,1739,CMU_97,松鼠 山 治安 很 好 ， 所以 不 需要 担心 晚上 步行 回家 。,1,</s>,松鼠,</s> 松鼠,compound:nn 松鼠 治安,"Squirrel Hill is very safe, so there is no need to worry about walking home at night.",</s>,Squirrel,</s> Squirrel,compound Squirrel Hill,,
87,non-code-switch,CMU,1997,CMU_98,地段 非常 好 ！,3,非常,好,非常 好,root 好,Excellent location!,</s>,Excellent,</s> Excellent,amod Excellent location,,
89,non-code-switch,CMU,4577,CMU_99,因为 本人 暑假 回国 ， 希望 能把 卧室 短期 出租 。,7,希望,能把,希望 能把,ccomp 希望 能,"Since I am returning home for the summer vacation, I would like to rent my bedroom for a short time.",to ,rent,to  rent,xcomp like rent,,
91,non-code-switch,CMU,2208,CMU_102,全新 装修 厨房 ， 大理石 台面 ， 新 橱柜 ；,5,，,大理石,， 大理石,compound:nn 大理石 台面,"Newly renovated kitchen, marble countertops, new cabinets;",", ",marble,",  marble",amod marble countertops,,
93,non-code-switch,CMU,2557,CMU_103,有 洁癖 和 特别 乱 的 妹子 不 接受 。,2,有,洁癖,有 洁癖,conj 洁癖 妹子,Girls who are squeamish and messy will not accept it.,and,messy,and messy,conj squeamish messy,,
95,non-code-switch,CMU,4120,CMU_107,声音 嘛 ， 我们 都 是 不 吵 不 闹 的 好 孩子 ， 天天 默默 写 作业 ， 音乐 视频 插 耳机 ， 所以 安静 又 隐私 。,12,的,好,的 好,amod 好 孩子,"Sound, we are not noisy good children, every day quietly do homework, music and video headphones, so quiet and private.",noisy,good,noisy good,amod good children,,
97,non-code-switch,CMU,2484,CMU_108,客厅 超大 ， 并且 很 独立 。,2,客厅,超大,客厅 超大,dep 超大 独立,The living room is very large and independent.,is,very large,is very large,advmod very large,,
99,non-code-switch,CMU,3568,CMU_110,一 楼 为 共用 客厅 、 厨房 、 餐厅 。,5,共用,客厅,共用 客厅,conj 客厅 餐厅,"The first floor is shared living room, kitchen and dining room.",shared,living room,shared living room,compound living room,,
101,non-code-switch,CMU,6864,CMU_117,欢迎 索要 其他 细节 和 照片 。,4,其他,细节,其他 细节,conj 细节 照片,Other details and photos are welcome.,Other,details,Other details,nsubj details welcome,,
103,non-code-switch,CMU,7309,CMU_119,已经 买 过 新 床 了 。,4,过,新,过 新,amod 新 床,I've already bought a new bed.,a,new,a new,amod new bed,,
105,non-code-switch,CMU,6529,CMU_124,现金 卡 135 .,1,</s>,现金,</s> 现金,nsubj 现金 卡,Cash card 135.,</s>,cash,</s> cash,compound Cash card,,
107,non-code-switch,CMU,4618,CMU_125,大家 都 很 爱 干净 ， 房子 两 周 一 次 大扫除 。,7,，,房子,， 房子,nsubj 房子 大扫除,Everyone loves to be clean. The house is cleaned once every two weeks.,The,house,The house,nsubj:pass house cleaned,,
109,non-code-switch,CMU,3873,CMU_134,免费 赠送 厨具 以及 卧室 内 的 家具 ， 包括 床 ， 写字台 ， 椅子 等 。,5,以及,卧室,以及 卧室,nmod 卧室 家具,"Complimentary kitchenware and bedroom furniture, including bed, desk, chair, etc.",and,bedroom,and bedroom,compound bedroom furniture,,
111,non-code-switch,CMU,1456,CMU_140,房东 为人 很 好 而且 很 愿意 认识 不同 背景 的 朋友 。,12,的,朋友,的 朋友,dobj 很 的,The landlord is very nice and willing to meet friends from different backgrounds.,meet,friends,meet friends,obj meet friends,,
113,non-code-switch,CMU,4113,CMU_143,根据 需要 可以 商议 留下 家具 ， 其他 详情 均 可 商议 。,11,均,可,均 可,aux:modal 可 商议,"According to the need to leave the furniture can be negotiated, other details can be negotiated.",furniture,can be,furniture can be,aux can negotiated,,
115,non-code-switch,CMU,4621,CMU_145,冬天 取暖 用 电 可 自行 开关 ， 房东 说 每 户 平均 $45-55/month 。,10,房东,说,房东 说,conj 开关 说,"In winter, the heating electricity can be switched on and off by itself, and the landlord said that the average $45-55/month per household.",landlord,said,landlord said,conj switched said,,
117,non-code-switch,CMU,2055,CMU_146,非常 安静 安全 的 社区 ， 房子 坐落 地势 平缓 的 地面 ， 入住 舒适 程度 高 、 性价比 高 。,19,、,性价比,、 性价比,advmod 性价比 高,"Very quiet and safe community, the house is located on the flat ground, living in a high degree of comfort, cost-effective.",", ",cost-effective,",  cost-effective",nsubj cost effective,,
119,non-code-switch,CMU,3946,CMU_150,屋里 家具 ： 一 张 床 ， 书桌 台灯 及 椅子 ， 自 带 书柜 ， 独立 衣帽间 。,15,带,书柜,带 书柜,dobj 带 书柜,"Furniture: a bed, desk lamp and chair, self - contained bookcase, separate cloakroom.",self-contained,bookcase,self-contained bookcase,conj bed bookcase,,
121,non-code-switch,CMU,4608,CMU_151,硬木 地板 ， 不用 担心 清理 地毯 ；,6,担心,清理,担心 清理,ccomp 担心 清理,"Hardwood floors, no need to worry about cleaning carpets;",about,cleaning,about cleaning,compound cleaning carpets,,
123,non-code-switch,CMU,6208,CMU_156,剩余 物品 已 更新 ！,1,</s>,剩余,</s> 剩余,amod 剩余 物品,Remaining items have been updated!,</s>,Remaining,</s> Remaining,amod Remaining items,,
125,non-code-switch,CMU,1964,CMU_162,有 兴趣 请 联系 ymin .,2,有,兴趣,有 兴趣,dobj 有 兴趣,Please contact YMIN if you are interested.,are,interested,are interested,advcl contact interested,,
127,non-code-switch,CMU,579,CMU_170,公共 区域 很 大 ， 吃 火锅 很 合适 ！,1,</s>,公共,</s> 公共,amod 公共 区域,The common area is large and it's perfect for eating hot pot!,the,common,the common,amod common area,,
129,non-code-switch,CMU,2018,CMU_171,优先 租 一 年 的 同学 。,5,年,的,年 的,case 一 的,Student who has the priority to rent for one year.,has,the,has the,det the priority,,
131,non-code-switch,CMU,3441,CMU_177,银行 汇款 请 预先 提供 所有 汇款 所 需 的 必须 信息 （ 银行 帐号 、 开户 人 、 账户 类型 等等 ） 。,11,的,必须,的 必须,amod 必须 信息,"For bank transfer, please provide all necessary information (bank account number, account holder, account type, etc.) in advance.",all,necessary,all necessary,amod necessary information,,
133,non-code-switch,CMU,3533,CMU_178,一 分 价格 一 分 货 。,5,一,分,一 分,root  分,You get what you pay for.,you,pay,you pay,acl:relcl what pay,,
135,non-code-switch,CMU,6074,CMU_180,这 就 是 他 告诉 我 的 具体 路程 。,8,的,具体,的 具体,amod 具体 路程,This is the exact distance he told me.,the,exact,the exact,amod exact distance,,
137,non-code-switch,CMU,1783,CMU_185,如果 租 满 七 个 月 ， 房租 好 商量 。,3,租,满,租 满,amod 满 月,"If you rent for seven months, the rent is negotiable.",for,seven,for seven,nummod seven months,,
139,non-code-switch,CMU,524,CMU_190,价格 好 商量 ， 根据 需求 可 送 或者 低价 卖 部分 家居 ， 也 可 拎包 入住 。,10,或者,低价,或者 低价,advmod 低价 卖,"The price is easy to discuss, according to the demand can be sent or sell part of the home at a low price, but also move-in bag.",at,a low price,at a low price,obl sell price,,
141,non-code-switch,CMU,4760,CMU_193,第三 个 卧室 较 大 ， 每 月 租金 是 $615 美金 全 包 ， 包括 网 ， 水 ， 电 ， 气 ， 房租 ， 停车 。,8,每,月,每 月,compound:nn 月 租金,"The third bedroom is larger and the rent is $615 per month, all inclusive, including Internet, electricity, gas, rent and parking.",per,month,per month,nmod $ month,,
143,non-code-switch,CMU,1628,CMU_201,有 两 个 卧室 出租 ， 都 有 家具 。,4,个,卧室,个 卧室,compound:nn 卧室 出租,"There are two bedrooms for rent, both furnished.",two,bedrooms,two bedrooms,nsubj are bedrooms,,
145,non-code-switch,CMU,5869,CMU_203,走路 五 分钟 范围 内 有 印度 超市 ， 韩国 超市 和 各 种 餐厅 。,4,分钟,范围,分钟 范围,advmod:loc 范围 有,"Indian supermarkets, Korean supermarkets and various restaurants are within a five-minute walk.",are,within,are within,case within walk,,
147,non-code-switch,CMU,4168,CMU_204,便宜 ， 离 学校 近 ， 最 里面 的 房间 ， 不 受 打扰 ， 有 独立 的 空间 。,3,，,离,， 离,case 离 学校,"Cheap, close to the school, the innermost room, undisturbed, with its own space.",close,to,close to,case to school,,
149,non-code-switch,CMU,2922,CMU_206,周边 ： 黄金 地段 ， 环境 很 安全 。,4,黄金,地段,黄金 地段,nmod:topic 地段 安全,Nearby: A prime location with a safe environment.,prime,location,prime location,appos Nearby location,,
151,non-code-switch,CMU,2256,CMU_208,屋内 有 空调 暖气 ， 整个 公寓 明年 五月 还 可以 接着 续签 。,7,整个,公寓,整个 公寓,nsubj 公寓 续签,"It is air-conditioned and heated, and the entire apartment is up for renewal next May.",entire,apartment,entire apartment,nsubj apartment up,,
153,non-code-switch,CMU,6643,CMU_209,然后 就 没 修 过 了 。,4,没,修,没 修,dep 修 。,And then I didn't fix it.,didn’t ,fix,didn’t  fix,root fix,,
155,non-code-switch,CMU,5623,CMU_210,地下室 有 免费 洗衣 。,3,有,免费,有 免费,amod 免费 洗衣,There's free laundry in the basement.,There's,free,There's free,amod free laundry,,
157,non-code-switch,CMU,808,CMU_211,家具 厨具 齐全 ， 可 拎包 入住 。,1,</s>,家具,</s> 家具,nsubj 家具 齐全,"Furniture and kitchenware complete, carry bag available.",</s>,furniture,</s> furniture,nsubj Furniture complete,,
159,non-code-switch,CMU,5415,CMU_212,都 包括 在 里面 。,4,在,里面,在 里面,nmod:prep 包括 里面,It's all included.,all,included,all included,root included,,
161,non-code-switch,CMU,3663,CMU_214,房子 地理 位置 赞 。,2,房子,地理,房子 地理,compound:nn 地理 位置,The location of the house is excellent.,the,location,the location,nsubj location excellent,,
163,non-code-switch,CMU,2363,CMU_216,租金 ： 和 房东 联系 出租 时间 ： 可以 随时 入住 。,1,</s>,租金,</s> 租金,dep 租金 联系,Rent: Contact with the landlord Rent time: You can stay at any time.,</s>,Rent,</s> Rent,root rent,,
165,non-code-switch,CMU,946,CMU_218,大理石 台面 的 厨房 是 去年 新装 修 的 。,2,大理石,台面,大理石 台面,nmod:assmod 台面 厨房,The marble-topped kitchen was newly installed last year.,marble,topped,marble topped,amod topped kitchen,,
167,non-code-switch,CMU,950,CMU_219,房子 ： 厨房 ， 饭厅 ， 客厅 ， 房子 后面 有 车库 。,9,</s>,房子,</s> 房子,compound:nn 房子 后面,"House: kitchen, dining room, living room, garage at the back of the house.",</s>,house,</s> house,nmod back house,,
169,non-code-switch,CMU,906,CMU_222,客厅 有 大 窗 ， 采光 良好 ~,3,有,大,有 大,amod 大 窗,The living room has a large window for good lighting,a,large,a large,amod large window,,
171,non-code-switch,CMU,2174,CMU_226,卧室 房租 : $535+电 、 网 。,6,、,网,、 网,root  +,Bedroom Rental: $535+ electricity & Internet.,: ,net,:  net,root rental,,
173,non-code-switch,CMU,4308,CMU_228,现在 低价 招租 啦 ！,3,低价,招租,低价 招租,dep 招租 ！,It's cheap to rent now!,to,rent,to rent,csubj cheap rent,,
175,non-code-switch,CMU,530,CMU_231,房间 都 在 二 楼 （ 共 三 间 卧室 ） ， 和 一 楼 完全 分离 。,1,</s>,房间,</s> 房间,nsubj 房间 在,"The rooms are on the second floor (a total of three bedrooms), completely separated from the first floor.",</s>,The rooms,</s> The rooms,nsubj rooms floor,,
177,non-code-switch,CMU,5736,CMU_233,我们 都 是 性格 开朗 ， 兴趣 广泛 并且 爱 收拾 的 女生 。,4,是,性格,是 性格,nsubj 性格 开朗,We are both cheerful girls with wide interests and love to clean up.,both,cheerful,both cheerful,amod cheerful girls,,
179,non-code-switch,CMU,7161,CMU_239,如果 需要 ， 尽量 6 .,2,如果,需要,如果 需要,root  需要,Try 6 if you need to.,you,need,you need,advcl Try need,,
181,non-code-switch,CMU,7107,CMU_240,多 买 价格 可议 ！,1,</s>,多,</s> 多,advmod 多 买,Buy more price negotiable!,Buy,more,Buy more,amod more price,,
183,non-code-switch,CMU,712,CMU_244,物 廉价 美 ， 走过 路过 不要 错过 ！,6,走过,路过,走过 路过,dobj 走过 路过,"Cheap beauty, through the passing do not miss!",the,passing,the passing,obl passing miss,,
185,non-code-switch,CMU,1770,CMU_245,另外 有 个 卧室 也 是 靠近 学校 的 beeler/wilkins ， 走路 到 学校 也 非常 近 。,8,靠近,学校,靠近 学校,dobj 靠近 学校,"There is also a bedroom in Beeler/Wilkins near the campus, which is within walking distance of the campus.",of,the campus,of the campus,nmod bedroom campus,,
187,non-code-switch,CMU,6342,CMU_247,能够 复印 、 打印 就 可以 ！,4,、,打印,、 打印,conj 复印 打印,"Can copy, print can!","copy,",print,"copy, print",nsubj print can,,
189,non-code-switch,CMU,3882,CMU_248,价格 看 时间 长短 而 定 。,6,而,定,而 定,conj 看 定,The price depends on the time.,price,depends on,price depends on,root depends,,
191,non-code-switch,CMU,5368,CMU_249,房子 为 一 室 一 厅 ， 出租 客厅 。,1,</s>,房子,</s> 房子,nsubj 房子 厅,"The house is one room one hall, rent living room.",The,house,The house,nsubj house room,,
193,non-code-switch,CMU,240,CMU_256,今天 就 可以 入住 。,4,可以,入住,可以 入住,root  入住,We can check in today.,can,check in,can check in,root check in,,
195,non-code-switch,CMU,6280,CMU_259,使用 起来 相当 方便 。,3,起来,相当,起来 相当,advmod 相当 方便,It's quite easy to use.,It’s,quite,It’s quite,advmod quite easy,,
197,non-code-switch,CMU,5683,CMU_265,客厅 ： 空调 ；,3,：,空调,： 空调,root  空调,Living room: air conditioning;,: ,air conditioning,:  air conditioning,compound air conditioning,,
199,non-code-switch,CMU,4798,CMU_266,出租 客厅 + 三 楼 阁楼 。,4,+,三,+ 三,nummod 三 阁楼,Living room for rent + 3rd floor loft.,+,third,+ third,amod third loft,,
201,non-code-switch,CMU,3143,CMU_267,公寓 经常 举行 各 种 节庆 活动 ， 很 容易 认识 邻居 ， 或者 联系 英语 。,6,种,节庆,种 节庆,compound:nn 节庆 活动,"The apartment often hosts a variety of festivals, it is easy to meet the neighbors, or contact English.",of,festivals,of festivals,nmod variety festivals,,
203,non-code-switch,CMU,3679,CMU_269,招租 的 房间 宽敞 ， 有 步入 式 衣柜 。,7,有,步入,有 步入,conj 有 步入,The rooms are spacious and have walk-in closets.,have,walk-in,have walk-in,conj spacious walk in,,
205,non-code-switch,CMU,5119,CMU_270,补充 几 张 客厅 ， 厨房 的 照片 。,4,张,客厅,张 客厅,dobj 补充 客厅,Add a few photos of the living room and kitchen.,the,living room,the living room,compound living room,,
207,non-code-switch,CMU,1093,CMU_277,最好 可以 是 男生 。,1,</s>,最好,</s> 最好,advmod 最好 男生,"Preferably, it can be a boy.",</s>,preferably,</s> preferably,advmod Preferably boy,,
209,non-code-switch,CMU,2950,CMU_278,大厅 有 家具 沙发 （ 床 ） ， 多 个 书桌 、 椅子 以及 各 种 灯 ， 全都 免费 赠送 ， 拎包 入住 。,15,以及,各,以及 各,det 各 灯,"The hall has furniture sofa (bed), a number of desks, chairs and various lights, all free of charge, move-in bag.",", ",all,",  all",det all free,,
211,non-code-switch,CMU,5286,CMU_279,另 有 一 个 公用 卫生间 和 一 个 公用 厨房 。,10,个,公用,个 公用,amod 公用 厨房,There is also a communal bathroom and a communal kitchen.,a,communal,a communal,amod communal kitchen,,
213,non-code-switch,CMU,5945,CMU_281,房子 的 户型 图 。,3,的,户型,的 户型,dep 户型 图,A plan of the house.,a,plan,a plan,root plan,,
215,non-code-switch,CMU,1844,CMU_287,所有 家具 也 一并 出售 ， 价格 便宜 。,2,所有,家具,所有 家具,nsubj 家具 出售,All the furniture is also on sale at a low price.,the,furniture,the furniture,nsubj furniture sale,,
217,non-code-switch,CMU,6582,CMU_291,可代 改装 ， 升级 ， 代 做 各 种 系统 ， 各 种 双 系统 。,8,做,各,做 各,det 各 系统,"Can be refitted, upgraded, generation of each system, each kind of double system.",",",each,", each",det each kind,,
219,non-code-switch,CMU,7611,CMU_302,该 职位 的 工作 地点 是 哪里 ？,2,该,职位,该 职位,nmod:assmod 职位 地点,Where will the position be located?,the,position,the position,nsubj:pass position located,,
221,non-code-switch,CMU,7098,CMU_303,半 年 前 购入 该 显示器 ， 性能 完好 9 .,5,购入,该,购入 该,det 该 显示器,I bought the monitor half a year ago and it is in good condition.,bought,the,bought the,det the monitor,,
223,non-code-switch,CMU,2611,CMU_304,这 段 时间 的 价钱 可 商量 。,3,段,时间,段 时间,nmod:assmod 时间 价钱,The price for this period is negotiable.,this,period,this period,nmod price period,,
225,non-code-switch,CMU,6918,CMU_307,朋友 毕业 ， 发 卖 家具 。,5,发,卖,发 卖,conj 毕业 卖,Friends graduate and sell furniture.,and,sell,and sell,conj graduate sell,,
227,non-code-switch,CMU,4277,CMU_309,房子 照片 可以 通过 邮件 发送 。,5,通过,邮件,通过 邮件,nmod:prep 邮件 发送,Photos of the house can be sent by mail.,by,mail,by mail,obl sent mail,,
229,non-code-switch,CMU,934,CMU_313,房间 里 有 空调 暖气 ， 可以 自己 调节 。,4,有,空调,有 空调,compound:nn 空调 暖气,"The room is air-conditioned and heated, which can be adjusted by itself.",is,air conditioned,is air conditioned,root air conditioned,,
231,non-code-switch,CMU,4990,CMU_314,希望 未来 室 友好 相处 ， 及时 交 房租 ， 有 事 都 可以 商量 。,12,有,事,有 事,dobj 有 事,I hope we can get along well with each other in the future and pay the rent in time.,with,things,with things,advmod get along,,
233,non-code-switch,CMU,6048,CMU_319,健身 蛋 白粉 买 了 只 喝 过 一 次 。,1,</s>,健身,</s> 健身,compound:nn 健身 蛋,I bought the fitness egg white and only drank it once.,the,fitness,the fitness,compound fitness egg,,
235,non-code-switch,CMU,4245,CMU_320,房间 出租 ， 地理 位置 相当 好 ， 性价比 非常 高 。,2,房间,出租,房间 出租,nmod:topic 出租 好,Rooms are for rent. The location is very good and the price is very good.,for,rent,for rent,root rent,,
