,file,type,conversation,speaker,filtered_transcript_2015,length_of_turn,direction_of_code_switches,first_cs_word,first_cs_word_eng_pos,word_length_eng,english_translation,english_wbw_translation,first_cs_word_zh,word_length_zh,first_cs_word_zh_pos,first_cs_word_eng_raw_freq,first_cs_word_zh_raw_freq,first_cs_word_eng_freq,first_cs_word_zh_freq,chinese_translation,chinese_wbw_translation,cs word en cv surprisal,cs word en wbw cv surprisal,cs word zh cv surprisal,cs word zh wbw cv surprisal
37,01NC01FBX_0101,Conversation,1,1,"['我', '没有', 'meeting', '了']",4,"['man > eng', 'eng > man']",meeting,0,7,i don't have meeting anymore,i don't meeting be,会议,2,0,31367103,16266233,13.47047275415043,10.689334455356969,我会议了,我 没有 会议 了,15.646503896101832,14.476952671734841,19.29477156317474,16.74931293434321
40,01NC02FBY_0101,Conversation,1,2,"['若惠', '讲', '去', 'farm', 'mart', '吃']",6,"['man > eng', 'eng > man']",farm,0,4,ruohui talks about farm mart to eat,ruohui talk farm mart eat,农场,2,0,16276893,840209,14.41689970684318,14.964322590163649,若惠若惠讲去农场吃,若惠 讲 去 农场 集市 吃,15.147036726166284,14.753798837234658,14.477410101233506,14.477410101233506
41,01NC02FBY_0101,Conversation,1,2,"['啊', 'then', '我', '就', '讲', 'or', 'rather-']",7,"['man > eng', 'eng > man', 'man > eng']",then,2,4,ah then i will talk about or rars-,ah then i just talk or rather-,然后,2,2,283578912,5126199,10.294046697993288,12.355253249378546,啊然后我我或相反,啊 然后 我 就 讲 更 确切 地说 -,12.029346085637547,12.029346085637547,24.643992648097583,24.643992648097583
44,01NC02FBY_0101,Conversation,1,2,"['好', '我', '拜', '六', '才', '去', 'farm', 'mart', 'then', '他', '就', '讲']",12,"['man > eng', 'eng > man']",farm,0,4,"well, i will go to farm mart then, he will talk about it","well, i worship six farm mart then he talks",农场,2,0,16276893,840209,14.41689970684318,14.964322590163649,好我我才才才才农场thatemant他他他就,好 我 拜六才 去 然后 农场 他 就 讲,15.83801305077209,14.32988892181732,14.675989315468113,14.239143812049283
45,01NC02FBY_0101,Conversation,1,2,"['问题', '不是', '在于', '去', 'farm', 'mart', '去', '到', '那边', '我们', '要', '去', '哪里', '找', 'cab', '搭', '回来', '他', '就', '讲', 'then', '搭', 'shuttle', 'bus']",24,"['man > eng', 'eng > man', 'man > eng', 'eng > man', 'man > eng', 'eng > man', 'man > eng']",farm,0,4,"the question is not to go to farm mart, where are we going to find cab and come back and he talks about the shuttle bus",the problem is not to go farm mart where can we go there cab he will talk about it when he comes back then take shuttle bus,农场,2,0,16276893,840209,14.41689970684318,14.964322590163649,问题问题是去去去农场mart去去到那边我们要去找找找搭搭搭他就就就就就就讲搭搭,问题 不是 在于 去 农场 集市 去 到 那边 我们 要 去 哪里找 出租车 搭 回来 他 就 讲 然后 搭 机场 摆渡 车,16.433961635909935,15.43229799991607,14.477410101233506,14.477410101233506
47,01NC02FBY_0101,Conversation,1,2,"['去', 'gym', '一个', '小时', '来讲', 'after', 'that', '冲凉']",8,"['man > eng', 'eng > man', 'man > eng', 'eng > man']",gym,0,3,go to gym for an hour to talk about after that,go gym for one hour after that shower,健身房,3,0,949766,8506,18.5160091238609,21.59044616448376,去健身房之后冲凉,去 健身房 一个 小时 来讲 在 那 之后 冲凉,14.069926788052578,15.284022742822343,23.17572135830437,23.17572135830437
48,01NC02FBY_0101,Conversation,1,2,"['我', '昨天', '我', '在', '开', '我', 'calendar', '的', '时候']",9,"['man > eng', 'eng > man']",calendar,0,8,"when i opened my calendar yesterday, i opened my calendar",i was driving me yesterday calendar when,日历,2,0,3371718,37689,16.68816926127436,19.442855407991875,我昨天我在开日历的的的的,我 昨天 我 在 开 我 日历 的 时候,16.35451838990632,16.38019490092294,18.922356848313107,19.19211734118653
52,01NC02FBY_0101,Conversation,1,2,"['他', '就', '没有', 'i', 'think', '他', '没有', 'save', '我', '不', '懂']",11,"['man > eng', 'eng > man', 'man > eng', 'eng > man']",i,2,1,"he has no i think, he doesn't have save, i don’t understand",he has no i think he did not save i don't understand,我,1,2,1701439641,86117888,7.709112883174069,8.284901701364609,我认为他他他他他他我我我,他 就 没有 我 认为 他 没有 节省 我 不 懂,15.358156218959088,15.358156218959088,8.264815918135724,10.7270662276609
58,01NC02FBY_0101,Conversation,1,2,"['在', 'train', '上面']",3,"['man > eng', 'eng > man']",train,0,5,on train,exist train above,火车,2,0,15828580,583309,14.457193209729944,15.490810495697271,在火车上面,在 火车 上面,14.693808137769086,12.62252517932268,20.234767590400732,20.234767590400732
67,01NC02FBY_0101,Conversation,1,2,"['你', 'everyday', '都', '在', 'blur', '他', '讲', 'then', '我', '就', '讲', '你', '的', 'no', 'life', 'like-', '因为', '拜', '六', '有', '看到', '他', 'online', 'then', '我', '就']",26,"['man > eng', 'eng > man', 'man > eng', 'eng > man', 'man > eng', 'eng > man', 'man > eng', 'eng > man', 'man > eng', 'eng > man']",everyday,2,8,you everyday is in blur. he talks about then i will talk about your no life like-because you see him online then,you everyday all blur he said then i just talk about you no life like- because i saw him online then so i,每天,2,2,4615258,650,16.23524184108617,25.300415396193703,你每天都模糊他他他我我我我我的的你的没有生命像 - 因为因为拜六有看到看到看到看到他看到他,你 每天 都 在 模糊 他 讲 然后 我 就 讲 你 的 没有 生活 像 因为 拜六有 看到 他 然后 在线 我 就,18.1731637338444,18.1731637338444,21.049445541211146,21.049445541211146
71,01NC02FBY_0101,Conversation,1,2,"['其实', '我', '不', '懂', '他', '在', '做', '么', 'i', 'think', '他', '在']",12,"['man > eng', 'eng > man']",i,2,1,"actually, i don’t understand what he is doing. i think","actually, don't i understand that he is doing? i think he is",我,1,2,1701439641,86117888,7.709112883174069,8.284901701364609,我认为他懂他他在在在么,其实 我 不 懂 他 在 做 么 我 认为 他 在,14.884309751648164,15.397733005895955,8.264815918135724,18.622031295038628
75,01NC01FBX_0101,Conversation,1,1,"['就', 'hopefully', '显惠', '会', '早点', '放', 'then', '下来', 'join', '我们', '对', '就']",12,"['man > eng', 'eng > man', 'man > eng', 'eng > man', 'man > eng', 'eng > man']",hopefully,2,9,"just show that hopefully will put the then later, join, we are right, let's right",at once hopefully xianhui will put it early then come down join we are right,希望,2,1,1182177,6355830,18.200207082645257,12.045062197486722,就希望显惠显惠点点点点下来下来下来下来下来下来我们我们,就 希望 显惠会 早点 放 然后 下来 加入 我们 对 就,17.183536772109555,16.550167995754045,18.943894901309122,18.943894901309122
76,01NC01FBX_0101,Conversation,1,1,"['没有', 'then', '没', 'chungan', '他', 'in', 'the', 'end', '#pangseh#', '哦', '他', '就', '不', '懂', '做', '了', '什么', 'then', '就', '显惠', '也', '是', '做工', '做到', '很', '迟', 'then', 'in', 'the', 'end', '他', '还', '跟着', '他', '老板', '回家', '他', '老板', '就', '讲', 'oh', 'come', 'to', 'my', 'house', 'to', 'do', 'then', '我们', '就', '以为', '他', '老板', '要', '干吗']",55,"['man > eng', 'eng > man', 'man > eng', 'eng > man', 'man > eng', 'eng > other', 'other > man', 'man > eng', 'eng > man', 'man > eng', 'eng > man', 'man > eng', 'eng > man']",then,2,4,"there is no one without chungan, he in the end # pangseh # oh, he didn't know what the then, he did not know what to do.do then do we think his boss is going to do",no then without chungan he in the end #pangseh# oh he doesn't know what to do then xianhui is also very late in workmanship then in the end he also followed his boss home and his boss said oh come to my house to do then we thought his boss was going to do,然后,2,2,283578912,5126199,10.294046697993288,12.355253249378546,然后没chungan ther＃pangseh＃pangseh＃哦哦他懂做什么了了了什么了了什么什么就就就显惠显惠也也是很很迟迟迟迟迟迟迟迟迟迟迟迟迟迟然后做我们我们以为老板要干干,没有 然后 没 Chungan 他 最后 ＃ pangseh ＃ 哦 他 就 不 懂 做 了 什么 然后 就 显惠 也 是 做工 做到 很迟 然后 最后 他 还跟着 他 老板 回家 他 老板 就 讲 哦 ， 来 我家 去 做 我们 就 以为 他 老板 要 干吗,12.029346085637547,14.913313173651819,11.333302491915799,22.66607679726451
80,01NC02FBY_0101,Conversation,1,2,"['那种', '他', 'exam']",3,['man > eng'],exam,0,4,that kind of exam,him exam,考试,2,0,1754929,1366355,17.630240476167963,14.262810368140752,考试,那种 他 考试,17.311417716050336,16.760133782919493,15.254061276756124,15.38039586316874
87,01NC01FBX_0101,Conversation,1,1,"['屁', 'if', 'prof', 'get', '你', 'd', '我', '砍', '我', '头', '给', '你', '真的']",13,"['man > eng', 'eng > man', 'man > eng', 'eng > man']",if,2,2,"fart if prop get you d, i cut my head for you really",fart if prof get you d i cut me my head for you,如果,2,2,411367074,18679385,9.75737062575837,10.48976768335448,屁如果教授获得你你我,屁 如果 教授 得到 你 d 我 砍 我 头 给 你 真的,10.240738279919057,10.240738279919057,15.21638496488234,15.21638496488234
90,01NC01FBX_0101,Conversation,1,1,"['对', '对', 'then', 'kelmo*(name)', '有', '一定', 'd', 'plus', '也', '是', '他', '的', 'final', 'sem']",14,"['man > eng', 'eng > man', 'man > eng', 'eng > man', 'man > eng']",then,2,4,there is a certain d plus for then kelmo*(name).,yep then kelmo*(name) certain d plus it's also his final sem,然后,2,2,283578912,5126199,10.294046697993288,12.355253249378546,对对然后Kelmo*（名称）有d d plus也也是他的他他他的,对 对 然后 kelmo * （ 名称 ） 有 一定 D   Plus 也 是 他 的 最后 的 SEM,13.316253389162293,12.029346085637547,17.02551364921419,17.02551364921419
94,01NC02FBY_0101,Conversation,1,2,"['他', '打包', '了', '挺', '多', 'module', '而且', '他', '天天', '都', '没有', '去', '上课', '他', '就', '天天', '去', '教', 'tuition']",19,"['man > eng', 'eng > man', 'man > eng']",module,0,6,he packed a lot of module and he didn't go to class every day.,"he paid a lot module and he didn't go to class every day, he would teach every day every day tuition",模块,2,0,2570416,252877,17.079651273821455,16.696635004592874,他打包挺多模块而且而且而且天天都没有去他他天天天天去去去去,他 打包 了 挺 多 模块 而且 他 天天 都 没有 去 上课 他 就 天天 去 教学 费,17.4861192433317,18.202770750182893,16.257318109464297,16.257318109464297
100,01NC01FBX_0101,Conversation,1,1,"['很', '很', 'wasted', '唉', '整个', '对', '整个', 'sem', '就', '浪费', '掉', '了']",12,"['man > eng', 'eng > man', 'man > eng', 'eng > man']",wasted,1,6,very foundted 对 the whole of the entire sem was wasted,very wasted oh the whole to the whole sem just waste it,浪费,2,1,2958397,760513,16.87683747320447,15.108097920480027,wasted浪费了唉唉个对整个个就就就浪费,很 很 浪费 唉 整个 对 整个 SEM 就 浪费 掉 了,17.288742234874636,16.90768951038787,16.49240099495519,17.465748848061043
102,01NC02FBY_0101,Conversation,1,2,"['可是', '就', 'i', 'think', 'engineering', 'side', '的', 'modules', '都', '是', '你']",11,"['man > eng', 'eng > man', 'man > eng', 'eng > man']",i,2,1,but the modules of i think engineering side are you,just i think engineering side of modules it's all you,我,1,2,1701439641,86117888,7.709112883174069,8.284901701364609,可是可是我认为工程方的模块都都都是你,可是 就 我 认为 工程 方面 的 模块 都 是 你,15.710375604160664,16.059794936171055,11.527348935264929,12.275178730443496
106,01NC02FBY_0101,Conversation,1,2,"['带', '过', '了', 'then']",4,['man > eng'],then,2,4,bringing then,pass then,然后,2,2,283578912,5126199,10.294046697993288,12.355253249378546,然后,带过 了 然后,12.320597792320845,12.795413598249855,11.333302491915799,17.323000282738782
107,01NC02FBY_0101,Conversation,1,2,"['很多', '科目', 'andy']",3,['man > eng'],andy,0,4,many subjects andy,many subjects andy,安迪,2,0,2307612,0,17.235252469270353,34.64471130410952,很多科目安迪,很多 科目 安迪,16.882201352694224,16.882201352694224,18.257322456778706,18.257322456778706
109,01NC02FBY_0101,Conversation,1,2,"['不然', '就是', 'i', 'thought', '他', 'i.', 'o.', '因为']",8,"['man > eng', 'eng > man', 'man > eng', 'eng > man']",i,2,1,otherwise it is i thought he. o. because,otherwise i thought he i. o. because,我,1,2,1701439641,86117888,7.709112883174069,8.284901701364609,我以为他i。o。因为,不然 就是 我 想 他 我 。 o 。 因为,16.616290974482776,14.593057380579248,8.264815918135724,7.810742563424
110,01NC01FBX_0101,Conversation,1,1,"['这样', '他', '还', '可以', 'graduate', 'in', 'four', 'years', '还', '蛮', '强', '的']",12,"['man > eng', 'eng > man']",graduate,0,8,"in this way, he can also graduate in four years",so he can still graduate in four years pretty strong,毕业,2,1,5881255,2854440,15.885529095715343,13.19993499741712,四年后毕业还还还还蛮强强,这样 他 还 可以 四年 后 毕业 还 蛮 强 的,17.347055360652288,17.03541532028662,15.100724397824221,11.685687309136497
118,01NC02FBY_0101,Conversation,1,2,"['我', '的', 'status', '已经', '是', 'year', 'four', 'standing', '了']",9,"['man > eng', 'eng > man', 'man > eng', 'eng > man']",status,0,6,my status is already year four standing,mine status already year four standing be,地位,2,0,23698402,9120537,13.874935264732605,11.524023964734226,我地位已经已经已经已经已经已经已经已经已经,我 的 地位 已经 是 四年级 的 地位 了,17.34755564302338,17.173453059377522,19.785952847863218,12.963098549009198
143,01NC02FBY_0101,Conversation,1,2,"['她', '都', '被', '丢进', '去', '了', 'i', 'think', '她', '讲', '她', 'a.', 'levels', '考', '得', '太', '差', 'or', 'something', 'then']",20,"['man > eng', 'eng > man', 'man > eng', 'eng > man', 'man > eng']",i,2,1,she was thrown into i think.,she was thrown into i think she talks about her a. levels too badly or something then,我,1,2,1701439641,86117888,7.709112883174069,8.284901701364609,我认为a。等级考考太太或,她 都 被 丢 进去 了 我 认为 她 讲 她 A 。 水平 考得 太差 或 什么,16.98980856947191,16.98980856947191,8.264815918135724,9.115743744895978
147,01NC02FBY_0101,Conversation,1,2,"['后来', '她', '去', 'com', 'engine', '她', '早', '就', '死', '在', '那边', 'then', '她', '的', 'programming']",15,"['man > eng', 'eng > man', 'man > eng', 'eng > man', 'man > eng']",com,0,3,"later, she went to com engine. she had died over there.",then she went com engine she has long died over there then her programming,com,3,0,3882019,28862,16.484845960938447,19.82782764932876,后来后来她com发动机她她就死在在在她她她,后来 她 去 com 发动机 她 早就 死 在 那边 然后 她 的 编程,19.375655529393107,17.76621192915865,19.162070501568277,19.082611974695425
152,01NC02FBY_0101,Conversation,1,2,"['没有', '学过', 'programming', 'so', '还好']",5,"['man > eng', 'eng > man']",programming,0,11,it’s okay if i have never learned programming so,never studied programming so fine,编程,2,0,4774043,27287,16.186441579185473,19.908785134676275,没有编程SO还还,没有 学过 编程 如此 还好,16.31354938290488,15.73783599056424,21.22989998356724,15.271396426326486
160,01NC01FBX_0101,Conversation,1,1,"['换', 'course', 'ya']",3,['man > eng'],course,0,6,change course ya,change course ya,课程,2,0,95688637,1980434,11.861377429956292,13.72732611203779,换课程,换 课程 YA,14.153142747793552,14.153142747793552,19.341447974836004,19.341447974836004
162,01NC02FBY_0101,Conversation,1,2,"['你', '跑', '去', 'appeal', 'accounting', 'for', 'what']",7,['man > eng'],appeal,0,6,you run to appeal accounting for what,you run appeal accounting for what,上诉,2,0,13611614,410849,14.67488690033582,15.996462574401011,你你跑上诉核算什么,你 跑 去 上诉 核算 什么,17.58097557130997,16.943447740979664,16.472635522790608,16.455831881715433
172,01NC01FBX_0101,Conversation,1,1,"['你', '就', '写', '就', 'gain', 'some', 'marks', 'at', 'at', 'least', '你', '没有', '扣', '对', 'i', 'think']",16,"['man > eng', 'eng > man', 'man > eng']",gain,1,4,you just write gain some marks at at least. you did not deduct i think,just write gain some marks at at least you have no deduction i think,获得,2,1,19750964,7814701,14.13780197549059,11.746952059777865,我想至少获得一些标记你扣扣扣,你 就 写 就 至少 获得 一些 分数 你 没有 扣 对 我 认为,15.190209168073059,15.190209168073059,11.117845557609497,11.117845557609497
177,01NC02FBY_0101,Conversation,1,2,"['我', '考', 'elective', '我', '可以', '拿', 'anything', 'better', 'than']",9,"['man > eng', 'eng > man', 'man > eng']",elective,2,8,i test elective i can take anything better than,i'm in the exam elective i can take it anything better than,选修课,3,0,1140216,0,18.25234598883545,34.64471130410952,我选修课我我可以可以,我考 选修课 我 可以 拿 一切 都 比 更好,17.295038949578494,17.173453059377522,25.0478381178218,18.45937208929404
178,01NC02FBY_0101,Conversation,1,2,"['对', 'so', 'i', 'rather', ""don't"", 's.u.', 'it', 'but', '其实', '差', '没', '多少', '那', '两三', '分']",15,"['man > eng', 'eng > man']",so,2,2,"in fact, there are not many two or three points for so i rars s.u.u.u. it but","right so i rather s.u. it but in fact, there are not many two or three points",所以,2,2,495581448,13406620,9.48867476883514,10.96826908079729,对所以我宁愿S.U.但是，但是其实其实没那两三分,对 所以 我 宁愿 S . U . 但是 其实 差 没 多少 那 两三分,9.67685958860926,8.690712678746616,20.34277177758576,20.34277177758576
180,01NC02FBY_0101,Conversation,1,2,"['对', '我', '就', '还', 'marketing', '没有', 'take', '以前', '其实', '我', '在', 'poly', '的', '时候', '我', 'marketing', '超', '#cui#', '的', 'as', 'in', '我', '不', '可以', '背', 'things', 'like', 'four', 'piece', '那种', '东西']",31,"['man > eng', 'eng > man', 'man > eng', 'eng > man', 'man > eng', 'eng > man', 'man > eng', 'eng > man', 'man > other', 'other > man', 'man > eng', 'eng > man', 'man > eng', 'eng > man']",marketing,0,9,"for me, i did n’t take marketing without taking before. in fact, when i was in poly, i did n’t carry that things like the things like four piece.",turn to me marketing no take i used to be in fact poly when i was marketing overtake #cui# of as in i can't carry it things like four piece that kind of thing,营销,2,0,7589987,978925,15.517555725457305,14.743872497190925,对对就就营销没有采取以前以前其实我我我的的的的＃营销超＃cui＃的,对 我 就 还 营销 没有 拿 以前 其实 我 在 多 的 时候 我 营销 超 ＃ cui ＃ 的 如 我 不 可以 背 诸如 四件 之类 的 东西 那种 东西,17.49937440081592,17.72120744390755,17.455403367395135,17.49259899627359
185,01NC02FBY_0101,Conversation,1,2,"['对', 'swots', '对']",3,"['man > eng', 'eng > man']",swots,0,5,swots,right swots right,swots,5,0,1453,0,27.86840272176809,34.64471130410952,对swots对,对 swots 对,22.527814828027203,17.6686080344531,24.02110887338797,24.02110887338797
188,01NC01FBX_0101,Conversation,1,1,"['对', 'i', 'think', '你', '做久', '对', '你', '做久', '你', '就', '会']",11,"['man > eng', 'eng > man']",i,2,1,"for i think, you will do it for a long time to do it for you for a long time","right i think if you do it for a long time, you will do it for a long time",我,1,2,1701439641,86117888,7.709112883174069,8.284901701364609,对我认为你你做久你做久你就,对 我 认为 你 做 久 对 你 做 久 你 就 会,15.879965680682423,15.379464062338123,5.365140428739162,5.365140428739162
190,01NC02FBY_0101,Conversation,1,2,"['后来', '它', '就', 'clash', 'with', '我', 'core', '我', '就', '想', '想', '想', '我', '就', 'next', 'sem', '再', '看', '怎样', '如果', 'next', 'sem', '就', '真的']",24,"['man > eng', 'eng > man', 'man > eng', 'eng > man', 'man > eng', 'eng > man', 'man > eng', 'eng > man']",clash,1,5,"later, it was clash with i core. i just want to think about me just sem.",it was later clash with i core i just want to miss me next sem see what if next sem true,冲突,2,0,1342285,2922959,18.01696211650212,13.16571314201207,与我核冲突我我我我就想想就我我我我我就我就我就我就再再再再看怎样怎样,后来 它 就 与 之 冲突 我核 我 就 想想 想 我 就 下 一个 SEM 再 看 怎样 如果 下 一个 SEM 就 真的,18.055268173564038,17.281011111619403,14.542931478784254,14.79596739247116
200,01NC02FBY_0101,Conversation,1,2,"['我', '就', '起来', '我', '关', 'hand-phone', '的', '时候', '我', '就', '想', 'message', '那', '两个']",14,"['man > eng', 'eng > man', 'man > eng', 'eng > man']",hand-phone,0,10,"when i got up, when i closed hand-phone",i get up and i get off hand-phone when i think message those two,手机,2,0,0,296118,38.37322170940093,16.46889863999665,手机手机的的时候我我就就那那那那个两,我 就 起来 我关 手机 的 时候 我 就 想 信息 那 两个,17.229395989459473,18.71092841620748,15.166900527402472,14.447055318880853
203,01NC02FBY_0101,Conversation,1,2,"['对', '后来', '我', '就', '去', '开', '我', '的', 'hand-phone', '的', 'sent', 'message', '一看', '我', 'send', '给', '那个', 'the', 'fourth', 'group', 'member', '的', '是', '什么']",24,"['man > eng', 'eng > man', 'man > eng', 'eng > man', 'man > eng', 'eng > man', 'man > eng', 'eng > man']",hand-phone,0,10,"to the sent message of my hand-phone later, i see what i send to the fourth group member",i will open me later for me hand-phone of sent message look at me send to that the fourth group member what is it,手机,2,0,0,296118,38.37322170940093,16.46889863999665,手机的发送消息一看看,对 后来 我 就 去 开 我 的 手机 的 发送 消息 一看 我 发送给 那个 第四 组成员 的 是 什么,17.51555817010859,19.235817305274775,15.166900527402472,14.3810751830602
211,01NC01FBX_0101,Conversation,1,1,"['我', '本来', '想要', 'meet', '你们', '吃', 'breakfast']",7,"['man > eng', 'eng > man', 'man > eng']",meet,1,4,i originally wanted meet to eat breakfast,i originally wanted meet you eat breakfast,见面,2,1,34661379,652585,13.32639599205065,15.32890500294523,我本来本来见面早餐,我 本来 想要 见面 你们 吃 早餐,14.603352035745306,14.603352035745306,15.38098683417682,15.249890263840186
215,01NC02FBY_0101,Conversation,1,2,"['只是', 'delay', 'ten', 'minutes', '的', '话', 'i', 'think', ""there's"", 'no', 'point']",11,"['man > eng', 'eng > man', 'man > eng']",delay,0,5,it's just delay ten minutes. i think no point,only delay ten minutes if i think no point,延迟,2,1,9204987,103737,15.239237455986505,17.98214027596634,只是延迟十分钟的的的我认为没有意义,只是 延迟 十分钟 的话 我 认为 没有 意义,17.695138280990108,17.453453395603432,20.35906085199904,20.35906085199904
231,01NC02FBY_0101,Conversation,1,2,"['对', 'then', '我', '就', 'like', 'yah', '我', '那', '时候']",9,"['man > eng', 'eng > man', 'man > eng', 'eng > man']",then,2,4,"for the then i just like yah me, then",right then so i like yah i was,然后,2,2,283578912,5126199,10.294046697993288,12.355253249378546,对然后像yah y我我那那时候,对 然后 我 就 像 yah 我 那 时候,13.455044541545117,12.815752767396422,22.05413777904912,22.05413777904912
232,01NC02FBY_0101,Conversation,1,2,"['我', '就', '站', '在', '那边', '看', '那个', 'train', '越来越', '靠近', '的', '时候']",12,"['man > eng', 'eng > man']",train,0,5,i just stood there and watched the train closer and closer,i just stood there to see that train when getting closer to,火车,2,0,15828580,583309,14.457193209729944,15.490810495697271,火车越来越越来越越来越越来越越来越越来越靠近的时候的,我 就 站 在 那边 看 那个 火车 越来越 靠近 的 时候,9.338302961469147,13.955539516033227,15.261222357150274,14.813586899086442
