sent_type,university,sent_id,aligned_to,original_sentence,eng_translation,zh_translation,cs_word_id,first_cs_word_form,first_cs_word_translation,preceding_word,preceding_word_translation,ngram_eng,ngram_zh,dep_eng,dep_zh ,word_freq_zh,word_freq_eng,cs_word_pos_zh,cs_word_pos_eng,cs_word_length_zh,cs_word_length_eng,sentence_length_zh,ngram_surp_zh,dep_surp_zh,ngram_surp_eng,dep_surp_eng,cs_back_word,,governor_first_cs_word_trans,deprel_first_cs_word_trans,surprisal_values,average_surprisal,bilingual_corpus_frequency_negative_log_first_cs_word,bilingual_corpus_frequency_negative_log_first_cs_word_trans,length_first_cs_word_form,dependency_distance,if_it_is_root,if_previous_word_is_punctuation,surprisal_of_previous_word,surprisal_first_cs_word_trans
code-switch,CMU,17,CMU_3964,有 兴趣 者 ， 请 email 短信 介绍 一下 自己 情况 。,"Interested, please email SMS to introduce yourself.",有 兴趣 者 ， 请 发送 短信 介绍 一下 自己 情况 。,6,email,发送,请,please,please email,请 发送,root email,ccomp 有 发送,38.68219437043110,12.6437008,VV,NN,2,5,12,5.355831,1.6549101,5.3676314,6.1919107,短信,,0,root,2.715695 4.139023 3.022636 0.6238034 3.313639 5.355831 1.836648 4.805568 3.053878 1.931871 4.49036 0.7784541,3.0056172083333300,7.630218513876140,10.220485679322000,5,0,1,0,3.313639,5.355831
code-switch,CMU,18,CMU_5422,半山 独 栋 别墅 ， 自 带 车库 和 driveway 。,"Midway single-family villa, with garage and driveway.",半山 独 栋 别墅 ， 自 带 车库 和 私人 车道 。,10,driveway,私人,和,and,and driveway,和 私人,conj garage driveway,amod 私人 车道,36.80771240799570,12.6184738,JJ,NNP,2,8,12,3.668677,2.4659207,7.833792,4.5789595,,,11,amod,5.637844 5.678452 3.272605 2.500991 0.544068 3.147691 4.49099 5.980581 1.43785 3.668677 4.059361 1.085591,3.4587250833333300,12.012245148550000,10.402807236115900,8,1,0,0,1.43785,3.668677
code-switch,CMU,19,CMU_5757,一 楼 有 half bath 。,There's Half Bath on the first floor.,一 楼 有 半 浴室 。,4,half,半,有,There are,There are half,有 半,amod half bath,nummod 半 浴室,36.71895655050760,8.45784139,CD,NN,1,4,6,3.454723,2.5596662,3.871367,3.692798,,,5,dep,2.791026 5.695485 2.147275 3.454723 5.558517 1.046625,3.448941833333330,10.066334999494700,8.967722710826590,4,1,0,0,2.147275,3.454723
code-switch,CMU,22,CMU_289,精装 修 家具 全 free 无线 上网 !,Free wireless Internet access!,精装 修 家具 全 免费 无线 上网 ！,5,free,免费,全,all,all free,全 免费,amod free access,advmod 免费 上网,38.15362473674620,8.56122074,JJ,JJ,2,4,8,5.015528,3.436875,5.362735,2.8117666,无线,,7,amod,5.804013 4.939471 5.585263 3.700925 5.015528 2.859978 0.5855799 4.771749,4.1578133625,8.9212026951917,7.721785707401630,4,2,0,0,3.700925,5.015528
code-switch,CMU,25,CMU_3463,对比 其他 地方 ， 可能 和 很多 人 share ， 并且 还 很 贵 ！,"Compared to other places, it may share with many people, and it is very expensive!",对比 其他 地方 ， 可能 和 很多 人 共用 ， 并且 还 很 贵 ！,9,share,共用,人,people,people share,人 共用,root share,advcl 共用  贵,40.0576172186791,9.48778941,JJ,NN,2,5,15,10.16642,4.2478914,3.5192614,3.4568233,并且,,14,dep,4.759578 1.553222 1.825154 0.8829458 2.80618 2.275777 3.728692 1.283624 10.51329 1.197862 2.404721 2.04499 2.718947 6.129158 4.027408,3.210103253333330,7.7081800553458500,11.319097967990100,5,5,0,0,1.283624,10.16642
code-switch,CMU,26,CMU_7245,房东 非常 无敌 nice 还 会 帮忙 丢 垃圾 ！,The landlord is unbeatable Nice also helps to throw away the garbage!,房东 非常 无敌 好 还会 帮忙 丢 垃圾 ！,4,nice,好,无敌,invincible,invincible nice,无敌 好,advmod unbeatable nice,advmod 好 丢,33.99205262349190,10.3470245,JJ,JJ,1,4,9,4.612996,3.1693678,5.27452,8.063031,还,,5,amod,6.258925 4.013741 6.440294 4.612996 10.51329 5.013268 5.531311 2.314101 3.42206,5.346665111111110,7.792737443373910,6.786498474836820,4,1,0,0,6.440294,4.612996
code-switch,CMU,30,CMU_288,户型 ： 一 楼 是 超大 living room ， dining room 及 厨房 ；,"Type: The first floor is a large living room, dining room and kitchen;",户型 ： 一 楼 是 超大 客厅 ， 餐厅 及 厨房 ；,7,living,客厅,超大,Very large,Very large living,超大 客厅,compound living room,root 客厅,39.6219352948563,8.86112033,NN,VBG,2,6,12,6.825455,6.225622,4.2677684,3.344462,及,,11,dep,6.482378 2.276336 2.337307 5.848589 1.85848 5.275753 6.825455 0.8922411 4.948161 2.290288 2.268386 2.668459,3.664319425000000,8.644949318563540,7.630218513876140,6,4,0,0,5.275753,6.825455
code-switch,CMU,31,CMU_7558,长 租 all gone ！,All gone!,长 租 全部 租出 ！,3,all,全部,租,rent,rent all,租 全部,advmod all gone,advmod 全部 租出,35.54886904599190,6.19945187,DT,DT,2,3,5,4.537052,2.617348,4.6611304,2.5187721,,,4,det,3.13938 4.953151 4.537052 4.4051 4.382312,4.283399,9.815020571213800,9.527338498762020,3,1,0,0,4.953151,4.537052
code-switch,CMU,33,CMU_2815,暑期 短 租 还 available 哦 。,Short summer rental is available.,暑期 短 租 还 有 空的 哦 。,5,available,有,还,also,also available,还 有,root available,root 有,32.225103221061400,8.86028122,VE,JJ,1,9,8,2.547122,1.420219,8.177593,3.1592522,哦,,8,dep,5.886802 4.559146 5.854287 2.365675 2.547122 10.51329 5.936751 1.335792,4.874858125000000,8.323365694436080,5.506461088421790,9,3,0,0,2.365675,2.547122
code-switch,CMU,35,CMU_252,有 pet 可以 商量 正规 物业 管理 ， pa 法律 规定 租房 合同 ， 保护 双方 权益 ， 安心 入住 。,"There are PET can discuss the formal property management, PA law stipulates the rental contract, protect the rights and interests of both sides, at ease to stay.",有 宠物 可以 商量 正规 物业 管理 ， 宾 州 法律 规定 租房 合同 ， 保护 双方 权益 ， 安心 入住 。,2,pet,宠物,有,There are,There are pet,有 宠物,nsubj pet discuss,nsubj 宠物 入住,40.91055952677070,11.8415944,NN,NNP,2,3,22,5.679086,5.4116497,5.8404775,5.684024,可以,,4,nsubj,2.715695 5.679086 2.246461 5.10237 5.394323 5.486727 4.318769 1.058464 5.382254 4.218911 3.197847 1.394795 7.061756 2.432533 0.6128892 4.319332 4.51813 3.831482 0.7667135 5.8026 5.740441 0.9292497,3.7368558363636400,10.625950787430100,10.220485679322000,3,2,0,0,2.715695,5.679086
code-switch,CMU,36,CMU_4866,欢迎 email 联系 咨询 。,Welcome to contact us by email.,欢迎 发 邮件 联系 咨询 。,2,email,发,欢迎,welcome,welcome email,欢迎 发,obl contact email,nmod 发 邮件,34.92896808073730,12.6437008,VV,NN,1,5,6,5.297529,4.630366,7.681592,3.6750517,联系,,1,ccomp,5.269867 5.297529 5.67024 3.218899 5.395529 1.307169,4.359872166666670,7.630218513876140,8.716408282545690,5,1,0,0,5.269867,5.297529
code-switch,CMU,45,CMU_4251,所有 想 寄 想 return 的 东西 ， 直接 放在 公寓 一 楼 就 可以 。,All the things that you want to send the return can be put directly on the first floor of the apartment.,所有 想 寄 想 退还 的 东西 ， 直接 放在 公寓 一 楼 就 可以 。,5,return,退还,想,Want to,Want to return,想 退还,obj send return,acl:relcl 退还 东西,39.142593313510100,8.89018802,VV,NN,2,6,16,6.251147,5.5334845,3.8607588,5.083554,的,,4,ccomp,3.213507 3.934522 5.699054 4.474885 6.251147 1.292597 3.490744 0.5892994 3.87222 2.438411 4.422504 2.84408 5.442994 3.865702 1.408872 2.358855,3.4749620875,11.319097967990100,12.012245148550000,6,1,0,0,4.474885,6.251147
code-switch,CMU,46,CMU_2975,免费 送 顶楼 view 和 顶楼 的 阳光 普照 !,Free delivery of top floor view and top floor sunshine!,免费 送 顶楼 景观 和 顶楼 的 阳光 普照 ！,4,view,景观,顶楼,The top floor,The top floor view,顶楼 景观,nmod delivery view,obj 送 景观,38.44671026654460,8.6006366,NN,NN,2,4,10,5.143289,5.2231584,4.784338,4.2273364,和,,6,conj,4.772542 5.323745 6.185939 5.143289 1.736748 5.847033 0.9520925 4.386751 4.060257 4.275425,4.26838215,10.220485679322000,12.012245148550000,4,2,0,0,6.185939,5.143289
code-switch,CMU,49,CMU_3821,bathroom : 二 楼 和 地下室 各 有 一 个 卫生间,Bathroom: There's one on the second floor and one in the basement,浴室 ： 二 楼 和 地下室 各 有 一 个 卫生间,1,bathroom,浴室,<s>,<s>,<s> bathroom,<s> 浴室,root bathroom,root 浴室,40.402814183789400,11.5854798,NN,NNP,2,8,11,5.886802,6.2402983,8.248479,6.766135,二,,8,nmod:topic,5.886802 3.196947 3.777291 1.955524 1.840524 4.842676 4.231431 1.233011 0.6812197 5.503237 4.93294,3.4619638818181800,8.61104776688786,9.709660055555970,8,7,0,,,5.886802
code-switch,CMU,53,CMU_7651,适合 couple 或 单身 居住 。,Suitable for couples or single.,适合 情侣 或 单身 居住 。,2,couple,情侣,适合,Suitable for,Suitable for couple,适合 情侣,obl Suitable couples,nsubj 情侣 居住,41.24197479182990,10.0214087,NN,NN,2,6,6,5.668503,5.374623,4.8219643,5.4136434,或,,5,conj,5.100725 5.668503 1.859549 5.150689 2.683036 1.249253,3.618625833333330,9.614349875751650,10.913632859881900,6,3,0,0,5.100725,5.668503
code-switch,CMU,56,CMU_4559,有 车库 ， off street parking .,"There's a parking garage, Off Street Parking.",有 车库 ， 路 外 停车场 。,4,off,路,，,.,. off,， 路,case off parking,conj 车库 路,35.94251566691260,7.95082929,NN,IN,1,3,7,4.854201,4.889943,3.3773713,2.927836,,,6,compound:nn,2.715695 5.391269 0.6238034 4.854201 3.759812 5.10788 0.794089,3.3209642000000000,10.402807236115900,11.319097967990100,3,2,0,1,5.391269,4.854201
code-switch,CMU,57,CMU_5972,要求 ： no smoking ， no pets ， no parties .,"Requirement: No smoking, no pets, no parties.",要求 ： 禁止 吸烟 ， 禁止 宠物 入内 ， 禁止 举办 派对 。,3,no,禁止,：,:,: no,： 禁止,det no smoking,advcl 禁止 禁止,36.93404500434030,6.66737414,VV,UH,2,2,13,4.489005,3.5633063,3.5647757,2.2626789,,,1,ccomp,4.813935 2.389885 4.489005 2.324238 1.189265 3.993038 4.671572 10.51329 1.197862 3.924692 3.516026 3.472183 0.7998947,3.638068130769230,9.614349875751650,12.012245148550000,2,2,0,1,4.813935,4.489005
code-switch,CMU,62,CMU_2757,house 里面 有 一 个 shared kitchen 和 dining room ， 烤箱 微波炉 洗衣机 都 有 ， 餐具 也 可以 和 家 里 其他 人 share 。,"There is a shared kitchen and dining room in the house, with oven, microwave and washing machine. Tableware can also be shared with other people in the house.",房子 里面 有 一 个 公共 厨房 和 餐厅 ， 烤箱 微波炉 洗衣机 都 有 ， 餐具 也 可以 和 家 里 其他 人 共用 。,1,house,房子,<s>,<s>,<s> house,<s> 房子,nmod people house,nmod 房子 里面,37.40390285781070,8.30273283,NN,NNP,2,5,26,5.512905,4.729782,8.790833,2.6714833,里面,,2,compound:nn,5.512905 2.721907 1.338366 1.053606 5.503237 3.350423 4.166602 1.306866 1.338908 0.6962472 6.954485 6.483206 6.454674 2.329598 1.13947 1.940914 6.059272 1.748957 1.555099 2.230852 4.266731 3.600037 3.54543 3.374271 10.51329 1.427697,3.4851173153846100,6.694125154705800,7.084991463392810,5,1,0,,,5.512905
code-switch,CMU,64,CMU_4714,一 层 有 doorman 帮忙 开门 和 收发 快递 ， 不用 担心 快递 丢失 等 问题 ；,"There is doorman on the first floor to help open the door and send and receive express, so you don't have to worry about the loss of express.",一 层 有 门卫 帮忙 开门 和 收发 快递 ， 不用 担心 快递 丢失 等 问题 ；,4,doorman,门卫,有,There are,There are doorman,有 门卫,nsubj is doorman,obj 有 门卫,42.62928595636420,14.3026742,NN,NNP,2,7,17,5.924223,3.6569927,7.8859935,4.925376,帮忙,,5,nsubj,2.791026 2.89797 2.120752 5.924223 5.556201 5.855171 1.99024 5.410367 6.423736 1.584157 4.428697 1.413452 6.046609 5.809309 2.508252 2.308789 1.973128,3.8260046470588200,9.93280360687018,11.319097967990100,7,1,0,0,2.120752,5.924223
code-switch,CMU,67,CMU_6327,八月 开始 可 签 一 年 lease 。,A one-year lease is available from August.,八月 开始 可 签 一 年 租约 。,7,lease,租约,年,years,years lease,年 租约,nsubj lease available,obj 签 租约,41.57872850128560,11.2462142,NN,NN,2,5,8,5.26434,5.5680537,4.9370923,4.802618,,,4,dobj,4.302052 2.663521 4.100472 5.744014 2.150431 0.4045706 5.26434 1.225863,3.23190795,7.34880605443795,10.066334999494700,5,3,0,0,0.4045706,5.26434
code-switch,CMU,68,CMU_6434,性格 非常 nice 好 相处 ， 绝对 不 会 打扰 你 。,"Personality is very nice and easy to get along with, will never bother you.",性格 非常 好好 相处 ， 绝对 不 会 打扰 你 。,3,nice,好好,非常,very,very nice,非常 好好,root nice,advmod 好好 相处,38.34822979377170,10.3470245,AD,JJ,2,4,11,6.455507,3.975411,2.6528378,4.5009704,好,,4,advmod,4.531389 1.781411 6.455507 2.012454 0.2729289 4.544313 1.185932 2.945629 4.850398 1.571177 0.8059883,2.814284290909090,7.792737443373910,12.012245148550000,4,1,0,0,1.781411,6.455507
code-switch,CMU,69,CMU_1904,［ 治安 ］ 附近 治安 好 ， 公寓 有 doorman ， 收发 快递 也 方便 。,"There is doorman in the apartment, and it is also convenient to send and receive express.",［ 治安 ］ 附近 治安 好 ， 公寓 有 门卫 ， 收发 快递 也 方便 。,10,doorman,门卫,有,There are,There are doorman,有 门卫,nsubj is doorman,obj 有 门卫,42.62928595636420,14.3026742,NN,NNP,2,7,16,5.869847,6.278286,7.8859935,4.925376,收发,,9,dobj,5.194147 5.250388 6.208732 4.069185 4.178795 3.183764 1.148435 5.263488 2.746676 5.869847 1.079181 6.134986 6.14892 3.148362 4.082433 1.293804,4.0625714375,9.93280360687018,11.319097967990100,7,1,0,0,2.746676,5.869847
code-switch,CMU,76,CMU_2480,an open-air shopping 经历 。,An open-air shopping experience.,一 次 露天 购物 经历 。,1,an,一,<s>,<s>,<s> an,<s> 一,det an experience,nummod 一 次,31.937972593395800,5.95402664,CD,DT,1,2,6,2.791026,0.8550439,4.3775554,1.4765079,经历,,4,nummod,2.791026 1.386087 5.349654 5.400501 4.979455 1.138621,3.507557333333330,12.012245148550000,5.464026045787640,2,3,0,,,2.791026
code-switch,CMU,79,CMU_5643,（ 对比 其他 地方 ， 可能 和 很多 人 share ， 并且 还 很 贵 ！,"(Compared to other places, it may share with many people, and it is expensive!",（ 对比 其他 地方 ， 可能 和 很多 人 共用 ， 并且 还 很 贵 ！,10,share,共用,人,people,people share,人 共用,root share,advcl 共用  贵,40.0576172186791,9.48778941,JJ,NN,2,5,16,10.16642,4.2478914,3.5192614,3.4568233,并且,,15,dep,2.636784 5.208936 2.244044 1.825154 0.8829458 2.80618 2.275777 3.728692 1.283624 10.51329 1.197862 2.404721 2.04499 2.718947 6.129158 4.027408,3.24553205,7.7081800553458500,11.319097967990100,5,5,0,0,1.283624,10.16642
code-switch,CMU,83,CMU_5238,附近 neighborhood 非常 安静 也 非常 安全 ， 临近 富人 区 。,"Neighborhood is very quiet and safe, close to the rich area.",附近 街区 非常 安静 也 非常 安全 ， 临近 富人 区 。,2,neighborhood,街区,附近,near,near neighborhood,附近 街区,nsubj neighborhood quiet,nsubj 街区 临近,40.108620190294500,10.6444984,NN,NN,2,12,12,4.005742,4.7896338,5.830504,4.658716,非常,,4,nsubj,4.302052 4.005742 4.259539 3.362691 3.304013 2.780048 3.275451 0.7766016 4.697981 5.747021 1.320391 0.5314789,3.1969174583333300,10.625950787430100,10.066334999494700,12,2,0,0,4.302052,4.005742
code-switch,CMU,84,CMU_6189,房子 目前 half furnished ，,"At present, the house is half furnished,",房子 目前 装修 了 一半 ，,3,half,装修,目前,At present,At present half,目前 装修,advmod half furnished,root 装修,39.916143013538200,8.45784139,VV,NN,2,4,6,5.853029,5.298877,4.045137,3.7753577,,,0,root,5.512905 4.075258 5.853029 2.06606 3.584112 0.5963829,3.6146244833333300,10.066334999494700,9.527338498762020,4,0,1,0,4.075258,5.853029
code-switch,CMU,85,CMU_1032,房子 目前 几乎 是 fully furnished ， 含 电视 ， 床 ， 书桌 ， 餐厅 大 桌子 ， 椅子 ， 生活 用品 基本 齐全 。,"At present, the apartment is fully furnished, including TV, bed, desk, dining room table, chairs and other daily necessities.",房子 目前 几乎 是 完整 装修 ， 含 电视 ， 床 ， 书桌 ， 餐厅 大 桌子 ， 椅子 ， 生活 用品 基本 齐全 。,5,fully,完整,是,is,is fully,是 完整,advmod fully furnished,advcl 完整 装修 ,36.35661962183300,9.58754122,JJ,RB,2,5,25,2.684045,4.35992,3.4091346,2.672306,含,,6,amod,5.512905 4.075258 3.372431 1.533199 2.684045 6.224767 0.7697079 4.372197 3.965559 2.017993 5.858712 1.459201 7.222059 0.8406437 4.891411 3.85801 4.925744 0.7938639 5.752962 1.504958 3.040445 7.434418 4.700052 3.899776 0.8626629,3.662919216,10.220485679322000,10.625950787430100,5,1,0,0,1.533199,2.684045
code-switch,CMU,87,CMU_5765,想 找 1-2 间 带 家具 的 house room 或者 apartment room ，,"Looking for 1-2 furnished house or apartment rooms,",想 找 1-2 间 带 家具 的 住宅 房间 或者 公寓 房间 ，,8,house,住宅,的,the,the house,的 住宅,obl looking house,nmod 住宅 房间,37.05402241598140,8.30273283,NN,NNP,2,5,13,3.890894,3.755331,2.3358037,5.383753,或者,,12,compound:nn,4.705596 2.133937 10.51329 3.511236 3.61004 4.988709 1.33685 3.890894 4.52844 3.219029 4.965261 2.552972 1.107018,3.9279440000000000,6.694125154705800,10.625950787430100,5,4,0,0,1.33685,3.890894
code-switch,CMU,89,CMU_861,房间 是 一 栋 house 的 顶层 ， 非常 宽敞 。,"The room is the top floor of a house, very spacious.",房间 是 一 套 房子 的 顶层 ， 非常 宽敞 。,4,house,套,一,one,one house,一 套,nmod floor house,clf 套 房子,36.67660432176400,8.30273283,M,NNP,1,5,11,2.08277,2.6929011,8.506615,3.6325114,的,,3,mark:clf,5.415995 2.180871 1.200952 2.08277 2.530627 1.075016 5.059387 0.8002014 4.018915 4.17708 1.303684,2.713227127272730,6.694125154705800,9.239656426310240,5,1,0,0,1.200952,2.08277
code-switch,CMU,92,CMU_2566,budget 灵活 。,Flexible budget.,资金 灵活 。,1,budget,资金,<s>,<s>,<s> budget,<s> 资金,root budget,nsubj 资金 灵活,34.8100486507573,10.5875003,NN,NN,2,6,3,5.637844,4.0230613,7.0148273,4.6296206,灵活,,2,nsubj,5.637844 4.456716 1.057211,3.7172570000000000,10.625950787430100,12.012245148550000,6,1,0,,,5.637844
code-switch,CMU,93,CMU_663,客厅 超大 ， walk-in closet 也 很 大 。,"The living room was huge, the walk-in closet was huge.",客厅 超大 ， 步入 式 衣柜 也 很 大 。,4,walk-in,步入,，,.,. walk-in,， 步入,compound walk-in closet,compound 步入 式,45.974090381236400,14.8385283,VV,VB,2,7,10,5.390434,5.7171035,7.70708,8.916941,也,,9,dep,6.258925 6.321009 2.144395 5.390434 2.772047 6.924273 3.261696 2.325765 3.476881 1.896284,4.0771709,9.709660055555970,12.012245148550000,7,5,0,1,6.321009,5.390434
code-switch,CMU,95,CMU_4512,如果 感 兴趣 ， 请 通过 email 联系 em@7,"If you are interested, please contact em@7 via email",如果 感 兴趣 ， 请 通过 邮箱 联系 em@7,7,email,邮箱,通过,through,through email,通过 邮箱,obl contact email,obj 通过 邮箱,41.26464014473960,12.6437008,NN,NN,2,5,9,4.955325,4.281067,2.4515593,3.6750517,联系,,8,nmod:prep,2.949325 5.120474 4.206441 0.547029 3.865889 4.282516 4.955325 4.667508 10.51329,4.567533,7.630218513876140,9.614349875751650,5,1,0,0,4.282516,4.955325
code-switch,CMU,97,CMU_1739,leasing office 就 在 lobby ， 员工 也 非常 好 ， 有 什么 问题 随时 可以 找 他们 沟通 解决 。,"The leasing office is located in the lobby and the staff is very good. If you have any problems, you can contact them at any time to solve them.",租约 办公室 就 在 大堂 ， 员工 也 非常 好 ， 有 什么 问题 随时 可以 找 他们 沟通 解决 。,1,leasing,租约,<s>,<s>,<s> leasing,<s> 租约,compound leasing office,nmod 租约 室,41.57872850128560,13.1581703,NN,NN,2,7,21,6.527233,6.417361,5.274638,5.034617,就,,2,compound:nn,6.527233 4.914629 2.867431 0.5183236 4.624774 0.9808132 4.682058 2.387231 2.789711 2.029384 0.5531858 2.337913 2.820983 1.689087 6.610256 1.330245 3.746214 2.568305 4.054883 3.555143 1.194873,2.9896512190476200,10.625950787430100,10.066334999494700,7,1,0,,,6.527233
