,sent_type,university,sent_id,aligned_to,sentence,eng_translation,cs_word_id,preceding_zh,first_cs_word_zh,,preceding_zh first_cs_word_zh,zh_deprel + word and governor ,zh_deprel,preceding_eng,first_cs_word_eng,,preceding_eng first_cs_word_eng,eng_deprel + word and governor ,eng_deprel,word_freq_zh,non_log_word_freq_zh,neg_base_e_word_freq_zh,base_e_word_freq_zh,word_freq_eng,non_log_word_freq_eng,neg_base_e_word_freq_eng,base_e_word_freq_eng,cs_word_length_zh,cs_word_length_eng,cs_word_dep_dist,cs_word_pos_zh,cs_word_pos_eng,sentence_length_zh,dep_prob_eng,dep_prob_zh,gt_ngram_surp_eng,ngram_surp_eng,base_2_ngram_prob_eng,raw_ngram_prob_eng,base_10_ngram_prob_eng,base_10_ngram_surp_eng,ngram_surp_zh,base_2_ngram_prob_zh,raw_ngram_prob_zh,base_10_ngram_prob_zh,base_10_ngram_surp_zh,retrained_ngram_surp_zh,dep_surp_eng,dep_surp_zh,llm_surp_zh,llm_surp_eng
21,non-code-switch,CMU,3964,CMU_17,感兴趣 的 同学 ， 可以 发 邮件 到 chan .,"For those of you who are interested, send an email to Chan.",6,可以,发,6.8863854,可以 发,root  发,root,", ",send,4.6108036,",  send",root send,root,50.39184903344860,0.00000000000000,-34.92896808073730,34.92896808073730,14.11645650,0.00005630,-9.78478202,9.78478202,1,4,0,VV,VB,10,-4.14234,-4.541395,10.6984770500907,15.3167580,-15.3167580,0.0000245,-4.6108036,4.6108036,16.6350243,-16.6350243,0.0000098,-5.0076413,5.0076413,6.8863854,4.14234,4.541395,13.4917373657227,11.231276512146
23,non-code-switch,CMU,5422,CMU_18,房屋 类型 ： 一 室 一 厅 （ 顶楼 ） ， 带 厨房 和 独立 卫生间 。,"House type: One bedroom and one living room (top floor), with kitchen and separate bathroom.",15,和,独立,7.2421484,和 独立,amod 独立 卫生间,amod,and,separate,4.431441,and separate,conj kitchen separate,conj,51.11418620498740,0.00000000000000,-35.42965405460310,35.42965405460310,13.74489832,0.00007284,-9.52723752,9.52723752,2,8,1,JJ,JJ,17,-4.367829,-2.628678,4.58885931600631,14.720928,-14.720928,0.000037,-4.431441,4.431441,12.5791577,-12.5791577,0.0001634,-3.7867038,3.7867038,7.2421484,4.367829,2.628678,39.3283805847168,10.8316926956177
25,non-code-switch,CMU,5757,CMU_19,附近 有 很多 餐馆 。,There are many restaurants nearby.,3,有,很多,7.289942,有 很多,dep 很多 餐馆,dep,are,many,1.823173,are many,amod many restaurants,amod,51.296737593328200,0.000000000000000,-35.556189034738800,35.556189034738800,10.53812014,0.00067253,-7.30446826,7.30446826,2,4,1,CD,JJ,5,-2.1662607,-4.9688034,6.05644961054008,6.056450,-6.056450,0.015025,-1.823173,1.823173,5.7411644,-5.7411644,0.0186955,-1.7282627,1.7282627,7.289942,2.1662607,4.9688034,20.7373061180115,3.3573215007782
27,non-code-switch,CMU,289,CMU_22,精装 修 家具 全 免费 无线 上网 ！,Hardcover repair furniture all free wireless Internet access!,5,全,免费,6.6978993,全 免费,amod 免费 上网,amod,all,free,3.3522766,all free,amod free access,amod,55.04404519964220,0.00000000000000,-38.15362473674620,38.15362473674620,12.35123071,0.00019139,-8.56122074,8.56122074,2,4,2,JJ,JJ,8,-2.8117666,-3.2338428,14.5407370130848,11.1360218,-11.1360218,0.0004443,-3.3522766,3.3522766,17.1862564,-17.1862564,0.0000067,-5.1735787,5.1735787,6.6978993,2.8117666,3.2338428,26.1656122207642,15.3384971618652
29,non-code-switch,CMU,3463,CMU_25,空间 很大 ， 房子 也 很 新 。,The space is huge and the house is new.,2,空间,很大,7.257902,空间 很大,dep 很大 房子,dep,is,huge,4.409446,is huge,root huge,root,55.93353182446330,0.00000000000000,-38.77016988288670,38.77016988288670,14.7901685,0.0000353,-10.2517636,10.2517636,2,4,2,JJ,JJ,8,-5.126491,-4.726911,6.3788673144168,14.647863,-14.647863,0.000039,-4.409446,4.409446,11.9713137,-11.9713137,0.0002490,-3.6037245,3.6037245,7.257902,5.126491,4.726911,38.1566181182861,7.66640853881836
31,non-code-switch,CMU,7245,CMU_26,全新 白色 陶瓷 水杯 。,New white ceramic water cup.,2,全新,白色,6.8726544,全新 白色,amod 白色 陶瓷,amod,New,white,3.9176433,New white,amod white cup,amod,55.11892802932870,0.00000000000000,-38.20552955901570,38.20552955901570,12.2450904,0.0002060,-8.4876499,8.4876499,2,5,1,JJ,NNP,5,-2.682855,-4.45223,13.0141293440172,13.0141293,-13.0141293,0.0001209,-3.9176433,3.9176433,15.438784,-15.438784,0.000023,-4.647537,4.647537,6.8726544,2.682855,4.45223,15.3555274009705,11.9894390106201
33,non-code-switch,CMU,288,CMU_30,卧室 无 窗 但 有 独立 卫浴 ， 中央 空调 。,"Bedroom is windowless but has its own bathroom, central air conditioning.",7,独立,卫浴,7.1807833,独立 卫浴,dep 卫浴 空调,dep,its,own,0.41413483,its own,amod own bathroom,amod,63.79156995640540,0.00000000000000,-44.21694685877490,44.21694685877490,10.85289487,0.00054070,-7.52265348,7.52265348,2,3,3,NN,JJ,11,-2.337768,-7.466889,14.6316914043228,1.37572613,-1.37572613,0.38535870,-0.41413483,0.41413483,13.884334,-13.884334,0.000066,-4.179601,4.179601,7.1807833,2.337768,7.466889,26.454833984375,0.264418512582779
35,non-code-switch,CMU,7558,CMU_31,包含 哪些 东西 ？,What does it include?,2,包含,哪些,7.198451,包含 哪些,det 哪些 东西,det,<s>,What does,5.083028,<s> What does,obj What include,obj,53.800705128016300,0.000000000000000,-37.291807071621500,37.291807071621500,9.95103919,0.00101027,-6.89753476,6.89753476,2,9,1,DT,WP,4,-2.5967305,-3.257594,16.8854535202991,16.885454,-16.885454,0.000008,-5.083028,5.083028,12.6576546,-12.6576546,0.0001548,-3.8103337,3.8103337,7.198451,2.5967305,3.257594,20.4449796676636,0.0
37,non-code-switch,CMU,2815,CMU_33,在我看来 没 缺点 了 ！,It looks perfect to me!,2,在我看来,没,7.1598167,在我看来 没,dep 没 ！,dep,looks,perfect,3.5477002,looks perfect,xcomp looks perfect,xcomp,51.25316486160810,0.00000000000000,-35.52598671859770,35.52598671859770,13.96036640,0.00006274,-9.67658861,9.67658861,1,7,3,VE,JJ,5,-5.067362,-5.0498815,20.4444689520898,11.7852050,-11.7852050,0.0002833,-3.5477002,3.5477002,18.5536876,-18.5536876,0.0000026,-5.5852165,5.5852165,7.1598167,5.067362,5.0498815,10.4602375030518,11.2805757522583
39,non-code-switch,CMU,252,CMU_35,有 专人 负责 接受 、 保管 包裹 ， 提供 免费 上门 维修 活动 。,"Special person is responsible for accepting and keeping the parcel, and provides free on-site maintenance activities.",2,有,专人,7.481098,有 专人,nsubj 专人 负责,nsubj,<s>,special,5.472309,<s> special,amod Special person,amod,56.41087190046850,0.00000000000000,-39.10103681073800,39.10103681073800,12.73794842,0.00014638,-8.82927303,8.82927303,2,7,1,NN,NNP,14,-2.7099319,-5.2238994,16.0006081433044,18.178617,-18.178617,0.000003,-5.472309,5.472309,17.1903451,-17.1903451,0.0000067,-5.1748095,5.1748095,7.481098,2.7099319,5.2238994,17.2307467460632,0.0
41,non-code-switch,CMU,4866,CMU_36,希望 能 方便 上学 就好 。,I hope it's convenient to go to school.,4,方便,上学,7.1670523,方便 上学,ccomp 方便 上学,ccomp,to,go to school,2.8349388,to go to school,csubj convenient go,csubj,56.215379349256300,0.000000000000000,-38.965531700044800,38.965531700044800,11.37094792,0.00037758,-7.88174049,7.88174049,2,12,1,VV,VB,6,-5.6885157,-3.8198771,9.56843849944833,9.4174628,-9.4174628,0.0014624,-2.8349388,2.8349388,18.9072075,-18.9072075,0.0000020,-5.6916366,5.6916366,7.1670523,5.6885157,3.8198771,22.3507499694824,1.7726925611496
43,non-code-switch,CMU,4251,CMU_45,诚心 想 租 的 话 价格 好 商量 。,"If you sincerely want to rent, the price is easy to discuss.",3,想,租,7.2278123,想 租,acl 租 话,acl,to,rent,8.200979,to rent,xcomp want rent,xcomp,55.776033235687700,0.000000000000000,-38.661000180134700,38.661000180134700,15.5717408,0.0000205,-10.7935082,10.7935082,1,4,2,VV,NN,9,-3.3436365,-6.4293804,10.7109479003517,27.243063,-27.243063,0.000000,-8.200979,8.200979,18.729017,-18.729017,0.000002,-5.637996,5.637996,7.2278123,3.3436365,6.4293804,19.1767044067383,12.8300485610962
45,non-code-switch,CMU,2975,CMU_46,就近 有 公交 车站 和 校 车站 。,There is a bus stop and a school stop nearby.,4,公交,车站,6.8863854,公交 车站,conj 车站 车站,conj,bus,stop,0.7169859,bus stop,conj stop stop,conj,56.287892326448100,0.000000000000000,-39.015793865739300,39.015793865739300,13.7680318,0.0000717,-9.5432724,9.5432724,2,4,3,NN,VB,8,-3.759417,-4.108405,5.05026615918031,2.3817756,-2.3817756,0.1918731,-0.7169859,0.7169859,16.458802,-16.458802,0.000011,-4.954593,4.954593,6.8863854,3.759417,4.108405,30.7898483276367,2.80032873153687
47,non-code-switch,CMU,3821,CMU_49,设施 : 床 ， 桌子 ， 网络 ， 水电 都 有 ， 还有 空调 !,"Facilities: bed, table, Internet, water and electricity, and air conditioning!",3,:,床,7.316704,: 床,nmod:topic 床 有,nmod:topic,: ,bed,6.7056246,:  bed,dep Facilities bed,dep,56.064476502145900,0.000000000000000,-38.860933817031700,38.860933817031700,13.43707035,0.00009017,-9.31386743,9.31386743,1,3,8,NN,NNP,15,-4.959493,-4.6816907,22.2756027525078,22.2756028,-22.2756028,0.0000002,-6.7056246,6.7056246,18.6233544,-18.6233544,0.0000025,-5.6061883,5.6061883,7.316704,4.959493,4.6816907,25.0806541442871,14.5922298431396
49,non-code-switch,CMU,7651,CMU_53,喜欢 挑战 和 尝试 新鲜 事物 ；,Like challenges and trying new things;,2,喜欢,挑战,7.1670523,喜欢 挑战,conj 挑战 尝试,conj,like,challenges,4.8146243,like challenges,root challenges,root,53.091268328241900,0.000000000000000,-36.800062954072400,36.800062954072400,16.1392191,0.0000139,-11.1868542,11.1868542,2,10,2,NN,NNS,7,-4.3910017,-4.456309,12.0729982139612,15.9938357,-15.9938357,0.0000153,-4.8146243,4.8146243,11.738378,-11.738378,0.000293,-3.533604,3.533604,7.1670523,4.3910017,4.456309,24.0865383148193,14.3242969512939
51,non-code-switch,CMU,4559,CMU_56,有 阳台 、 前后 花园 。,It has a balcony and front and rear gardens.,4,、,前后,7.2360053,、 前后,compound:nn 前后 花园,compound:nn,and,front and rear,4.3826237,and front and rear,conj balcony front,conj,53.72249274304160,0.00000000000000,-37.23759437749140,37.23759437749140,12.98794995,0.00012309,-9.00256089,9.00256089,2,14,1,NN,JJ,6,-4.98237,-4.8692803,13.5776270101746,14.5587608,-14.5587608,0.0000414,-4.3826237,4.3826237,16.1801401,-16.1801401,0.0000135,-4.8707075,4.8707075,7.2360053,4.98237,4.8692803,19.8370532989502,3.68415999412537
53,non-code-switch,CMU,5972,CMU_57,打扰 了 ， 搬家 出 家具 ， 价格 如图 下 ， 可 议 5 .,"Sorry to disturb you. The price is as below, you can negotiate 5.",4,，,搬家,7.239988,， 搬家,ccomp 打扰 搬家,ccomp,",",move,3.994584,", move",parataxis Excuse move,parataxis,58.28822511777550,0.00000000000000,-40.40231890022950,40.40231890022950,13.30142255,0.00009905,-9.21984354,9.21984354,2,4,3,VV,VB,15,-5.039732,-5.1692495,13.221529606115,13.269721,-13.269721,0.000101,-3.994584,3.994584,20.197499,-20.197499,0.000001,-6.080053,6.080053,7.239988,5.039732,5.1692495,31.0563077926636,12.0707273483276
55,non-code-switch,CMU,2757,CMU_62,我的 书桌 和 沙发 ， 还有 一 个 小 冰箱 房 饮料 和 啤酒 ， 都 在 客厅 ， 和 卧室 就 一墙之隔 ， 我们 客厅 不 住 人 ， 所以 活动 空间 很大 。,"My desk and sofa, and a small refrigerator room drinks and beer, are in the living room, and the bedroom is just across the wall, we don't live in the living room, so there is a lot of room for movement.",10,小,冰箱,7.1735477,小 冰箱,compound:nn 小 冰箱,compound:nn,small,refrigerator,4.7632365,small refrigerator,compound refrigerator room,compound,55.97232977748370,0.00000000000000,-38.79706257463430,38.79706257463430,17.6344276,0.0000049,-12.2232538,12.2232538,2,12,1,NN,NN,35,-5.2382436,-4.0553317,2.56325004522573,15.8231292,-15.8231292,0.0000172,-4.7632365,4.7632365,14.6184957,-14.6184957,0.0000398,-4.4006057,4.4006057,7.1735477,5.2382436,4.0553317,23.6389894485474,8.44268035888672
57,non-code-switch,CMU,4714,CMU_64,有 兴趣 看 房间 照片 的 请 邮件 联系 。,"If you are interested in seeing a photo of the room, please contact us by email.",2,有,兴趣,7.481098,有 兴趣,nsubj 兴趣 看,nsubj,are,interested ,3.5559778,are interested ,advcl interested contact,advcl,52.607504043862600,0.000000000000000,-36.464743104299300,36.464743104299300,14.17548855,0.00005404,-9.82569992,9.82569992,2,11,1,NN,JJ,10,-3.6787357,-4.467039,11.8127025586158,11.8127026,-11.8127026,0.0002780,-3.5559778,3.5559778,12.0873961,-12.0873961,0.0002298,-3.6386688,3.6386688,7.481098,3.6787357,4.467039,22.3340854644775,4.7475905418396
59,non-code-switch,CMU,6327,CMU_67,我 会 保留 一 个 星期 。,I'll keep it for a week.,6,个,星期,7.1875896,个 星期,dobj 保留 星期,dobj,a,week,8.613034,a week,obl keep week,obl,53.4959023818874,0.0000000000000,-37.0805339075153,37.0805339075153,13.4416109,0.0000899,-9.3170147,9.3170147,2,4,3,NN,NN,7,-4.598297,-3.692515,9.88958656240718,28.611880,-28.611880,0.000000,-8.613034,8.613034,10.7003533,-10.7003533,0.0006010,-3.2211273,3.2211273,7.1875896,4.598297,3.692515,42.4500112533569,6.21272897720337
61,non-code-switch,CMU,6434,CMU_68,话 不 多 说 ， 直接 上 链接 ！,"No more words, go directly to the link!",3,不,多,6.8863854,不 多,advmod 多 说,advmod,", ",much,7.7592635,",  much",obj say much,obj,48.40501004906570,0.00000000000000,-33.55179624048570,33.55179624048570,10.68080682,0.00060920,-7.40337113,7.40337113,1,4,1,AD,RB,9,-4.482636,-2.2152822,9.56790898411,25.7757154,-25.7757154,0.0000000,-7.7592635,7.7592635,5.6156699,-5.6156699,0.0203946,-1.6904851,1.6904851,6.8863854,4.482636,2.2152822,19.1043663024902,9.26950454711914
63,non-code-switch,CMU,1904,CMU_69,公寓 有 空调 ， 厨房 家电 设备 齐全 ， 同时 房屋 管理 公司 的 维修 处理 也 非常 及时 。,"The apartment is air-conditioned, the kitchen appliances are fully equipped, and the building management company is very prompt in handling repairs.",3,有,空调,7.2971773,有 空调,dobj 有 空调,dobj,is,air-conditioned,7.9693475,is air-conditioned,root air-conditioned,root,56.168774407452600,0.000000000000000,-38.933227616033400,38.933227616033400,20.5917788,0.0000006,-14.2731334,14.2731334,2,15,1,NN,NN,20,-8.9875555,-2.4776647,15.3191624304029,26.4735994,-26.4735994,0.0000000,-7.9693475,7.9693475,15.5264345,-15.5264345,0.0000212,-4.6739225,4.6739225,7.2971773,8.9875555,2.4776647,17.56494140625,12.448296546936
65,non-code-switch,CMU,2480,CMU_76,还有 一 名 男 访问 学者 。,There is also a male visiting scholar.,2,还有,一,6.217055,还有 一,nummod 一 学者,nummod,also,a,0.4780558,also a,det a male,det,46.076754676539700,0.000000000000013,-31.937972593395800,31.937972593395800,6.05284560,0.01506302,-4.19551286,4.19551286,1,1,4,CD,LS,7,-0.7372867,-0.8550439,6.01174675635999,1.5880670,-1.5880670,0.3326168,-0.4780558,0.4780558,9.9368277,-9.9368277,0.0010203,-2.9912832,2.9912832,6.217055,0.7372867,0.8550439,16.8965606689453,1.59735286235809
67,non-code-switch,CMU,5643,CMU_79,空间 更大 ， 且 有 空调 ， 窗外 视野 很 好 。,"Bigger space, air conditioning and a great view.",2,空间,更大,7.257902,空间 更大,dep 更大 有,dep,<s>,bigger,6.3012614,<s> bigger,amod Bigger space,amod,63.2711172235646,0.0000000000000,-43.8561965143916,43.8561965143916,16.4490743,0.0000112,-11.4016295,11.4016295,2,6,3,JJ,JJR,12,-3.9602487,-4.956962,11.6971632419331,20.9323373,-20.9323373,0.0000005,-6.3012614,6.3012614,10.8037034,-10.8037034,0.0005594,-3.2522388,3.2522388,7.257902,3.9602487,4.956962,27.2501840591431,0.0
69,non-code-switch,CMU,5238,CMU_83,周围 邻居 极其 友好 ， 治安 也 非常 好 ， 居住 环境 安全 。,"The neighborhood is extremely friendly, the security is very good, the living environment is safe.",2,周围,邻居,7.1670523,周围 邻居,nsubj 邻居 友好,nsubj,<s>,neighbors,6.3747535,<s> neighbors,nsubj Neighbors friendly,nsubj,56.130248344680300,0.000000000000000,-38.906523384244700,38.906523384244700,15.7472276,0.0000182,-10.9151464,10.9151464,2,9,2,NN,NNS,14,-4.796597,-4.8052874,18.5931424795543,21.1764727,-21.1764727,0.0000004,-6.3747535,6.3747535,12.3494188,-12.3494188,0.0001916,-3.7175455,3.7175455,7.1670523,4.796597,4.8052874,16.4893703460693,13.7727012634277
71,non-code-switch,CMU,6189,CMU_84,近期 换 过 四 个 轮胎 。,I've changed four tires recently.,2,近期,换,7.198451,近期 换,root  换,root,I’ve,changed,3.7350116,I’ve changed,root changed,root,53.828783167432400,0.000000000000000,-37.311269285478400,37.311269285478400,13.71755707,0.00007423,-9.50828601,9.50828601,1,7,0,VV,VBD,7,-2.95071,-4.356326,8.66251781404126,12.4074400,-12.4074400,0.0001841,-3.7350116,3.7350116,19.208159,-19.208159,0.000002,-5.782232,5.782232,7.198451,2.95071,4.356326,15.9333505630493,8.03796863555908
73,non-code-switch,CMU,1032,CMU_85,客厅 不 住 人 ， 是 日常 居家 活动 区域 ， 且 家具 电视 音响 设施 齐全 ， 餐厅 厨房 亦然 。,"The sitting room does not house a person, is a daily home activities area, and furniture, TV and audio facilities are complete, so is the dining room kitchen.",7,是,日常,7.4153876,是 日常,amod 日常 活动,amod,is,daily,5.196397,is daily,amod daily area,amod,53.1978428251932,0.0000000000000,-36.8739347661538,36.8739347661538,13.89916527,0.00006545,-9.63416722,9.63416722,2,5,2,JJ,NNP,22,-3.245649,-2.7654183,14.085668076523,17.262057,-17.262057,0.000006,-5.196397,5.196397,16.201967,-16.201967,0.000013,-4.877278,4.877278,7.4153876,3.245649,2.7654183,17.9049072265625,12.4067125320435
75,non-code-switch,CMU,5765,CMU_87,新生 在 寻找 一 室 一 厅 的 公寓 有 推荐 的 房屋 公司 吗 ？,Are there any recommended housing companies for new students looking for a one-bedroom apartment?,13,的,房屋,7.2105746,的 房屋,compound:nn 房屋 公司,compound:nn,recommended,housing,4.689405,recommended housing,compound housing companies,compound,53.0667505894578,0.0000000000000,-36.7830685525605,36.7830685525605,15.278435,0.000025,-10.590204,10.590204,2,7,1,NN,NN,16,-3.6861627,-4.3434954,5.24784215113026,15.577866,-15.577866,0.000020,-4.689405,4.689405,13.2169709,-13.2169709,0.0001050,-3.9787047,3.9787047,7.2105746,3.6861627,4.3434954,27.282154083252,14.0134439468384
77,non-code-switch,CMU,861,CMU_89,押金 为 一 个 月 的 房租 。,The deposit is one month's rent.,4,一,个,5.762203,一 个,mark:clf 一 个,mark:clf,is,one,1.8010569,is one,nummod one month,nummod,47.636204139884600,0.000000000000005,-33.018900592139000,33.018900592139000,8.93141273,0.00204822,-6.19078355,6.19078355,1,3,1,M,CD,8,-1.5246245,-3.2178445,5.98298151660074,5.9829815,-5.9829815,0.0158104,-1.8010569,1.8010569,15.050311,-15.050311,0.000029,-4.530595,4.530595,5.762203,1.5246245,3.2178445,24.0560684204102,8.81187343597412
79,non-code-switch,CMU,2566,CMU_92,环境 安全 。,Environmental safety.,1,<s>,环境,7.344206,<s> 环境,nsubj 环境 安全,nsubj,<s>,environmental,5.854803,<s> environmental,amod Environmental safety,amod,49.863759482246500,0.000000000000001,-34.562924297238400,34.562924297238400,14.9600786,0.0000314,-10.3695363,10.3695363,2,13,1,NN,JJ,3,-3.3670793,-3.812699,18.7782482856288,19.449235,-19.449235,0.000001,-5.854803,5.854803,14.9008058,-14.9008058,0.0000327,-4.4855895,4.4855895,7.344206,3.3670793,3.812699,18.00066614151,0.0
