Unnamed: 0,university,sent_id,original_sentence,translation,eng_translation,word_id,first_cs_word_form,first_cs_word_translation,governer_first_cs_word,preceding_word,governer_trans,preceding_trans,preceding_prob,Unnamed: 14,preceding_trans.1,first_cs_word_form.1,Unnamed: 17,cs_word_annotated
22.0,CMU,25.0,对比 其他 地方 ， 可能 和 很多 人 share ， 并且 还 很 贵 ！,对比 其他 地方 ， 可能 和 很多 人 共用 ， 并且 还 很 贵 ！,"Compared to other places, it can be shared with many people, and it's expensive!",9.0,share,共用,贵,人,your,people,4.602757541422371e-05,,people,share,people share,NA
23.0,CMU,26.0,房东 非常 无敌 nice 还 会 帮忙 丢 垃圾 ！,房东 非常 无敌 好 还会 帮忙 丢 垃圾 ！,The landlord is very invincible and will help to throw away the garbage!,4.0,nice,好,还,无敌,also,invincible,0.000176275820735325,,invincible,nice,invincible nice,NA
24.0,CMU,30.0,户型 ： 一 楼 是 超大 living room ， dining room 及 厨房 ；,户型 ： 一 楼 是 超大 客厅 ， 餐厅 及 厨房 ；,"House type: The first floor is a large living room, dining room and kitchen;",7.0,living,客厅,room,超大,房间,Very large,4.15204799767485e-05,,Very large,living,Very large living,compound
25.0,CMU,31.0,长 租 all gone ！,长 租 全部 租出 ！,Long lease all let out!,3.0,all,全部,gone,租,走了,rent,0.0013563445095468,,rent,all,rent all,advmod
26.0,CMU,35.0,有 pet 可以 商量 正规 物业 管理 ， pa 法律 规定 租房 合同 ， 保护 双方 权益 ， 安心 入住 。,有 宠物 可以 商量 正规 物业 管理 ， 宾 州 法律 规定 租房 合同 ， 保护 双方 权益 ， 安心 入住 。,"A pet can discuss formal property management, Pennsylvania law stipulates the rental contract, protect the rights and interests of both sides, at ease to stay.",2.0,pet,宠物,商量,有,To discuss,There are,0.00332088859553227,,There are,pet,There are pet,nsubj
27.0,CMU,36.0,欢迎 email 联系 咨询 。,欢迎 发 邮件 联系 咨询 。,Welcome to email contact consultation.,2.0,email,发,欢迎,欢迎,welcome,welcome,0.00016452409935296998,,welcome,email,welcome email,xcomp
28.0,CMU,45.0,所有 想 寄 想 return 的 东西 ， 直接 放在 公寓 一 楼 就 可以 。,所有 想 寄 想 退还 的 东西 ， 直接 放在 公寓 一 楼 就 可以 。,"If you want to send or return anything, just leave it on the first floor of your apartment.",5.0,return,退还,想,想,Want to,Want to,0.00011670556852284099,,Want to,return,Want to return,conj
29.0,CMU,46.0,免费 送 顶楼 view 和 顶楼 的 阳光 普照 !,免费 送 顶楼 景观 和 顶楼 的 阳光 普照 ！,Free top floor view and top floor sunshine!,4.0,view,景观,顶楼,顶楼,The top floor,The top floor,4.15213419697725e-05,,The top floor,view,The top floor view,root
30.0,CMU,49.0,bathroom : 二 楼 和 地下室 各 有 一 个 卫生间,浴室 ： 二 楼 和 地下室 各 有 一 个 卫生间,Bathrooms: There are two bathrooms on the second floor and one in the basement,1.0,bathroom,浴室,有,</s>,There are,</s>,0.0,,</s>,bathroom,</s> bathroom,NA
31.0,CMU,53.0,适合 couple 或 单身 居住 。,适合 情侣 或 单身 居住 。,Suitable for couples or single living.,2.0,couple,情侣,居住,适合,live,Suitable for,4.15213419697725e-05,,Suitable for,couple,Suitable for couple,NA
32.0,CMU,56.0,有 车库 ， off street parking .,有 车库 ， 路 外 停车场 。,"There's a garage, off-road parking.",4.0,off,路,parking,，,停车,",",2.6314404505026103e-05,,",",off,", off",NA
33.0,CMU,57.0,要求 ： no smoking ， no pets ， no parties .,要求 ： 禁止 吸烟 ， 禁止 宠物 入内 ， 禁止 举办 派对 。,"Requirements: No smoking, no pets, no parties.",3.0,no,禁止,要求,：,requirements,:,9.567913046806229e-05,,:,no,: no,nsubj
34.0,CMU,62.0,house 里面 有 一 个 shared kitchen 和 dining room ， 烤箱 微波炉 洗衣机 都 有 ， 餐具 也 可以 和 家 里 其他 人 share 。,房子 里面 有 一 个 公共 厨房 和 餐厅 ， 烤箱 微波炉 洗衣机 都 有 ， 餐具 也 可以 和 家 里 其他 人 共用 。,"The house has a communal kitchen and dining room, complete with an oven, microwave and washing machine, and utensils that can be shared with the rest of the family.",1.0,house,房子,里面,</s>,inside,</s>,0.0,,</s>,house,</s> house,nsubj
35.0,CMU,64.0,一 层 有 doorman 帮忙 开门 和 收发 快递 ， 不用 担心 快递 丢失 等 问题 ；,一 层 有 门卫 帮忙 开门 和 收发 快递 ， 不用 担心 快递 丢失 等 问题 ；,"The first floor has the doorman to help open the door and send and receive the express, so you don't have to worry about the loss of the express.",4.0,doorman,门卫,帮忙,有,help,There are,0.00332088859553227,,There are,doorman,There are doorman,obj
36.0,CMU,67.0,八月 开始 可 签 一 年 lease 。,八月 开始 可 签 一 年 租约 。,A one-year lease is available from August.,7.0,lease,租约,签,年,sign,years,2.350344276471e-05,,years,lease,years lease,det
37.0,CMU,68.0,性格 非常 nice 好 相处 ， 绝对 不 会 打扰 你 。,性格 非常 好好 相处 ， 绝对 不 会 打扰 你 。,"Personality is very good to get along with, will never disturb you.",3.0,nice,好好,好,非常,good,very,0.000264690312334569,,very,nice,very nice,NA
38.0,CMU,69.0,［ 治安 ］ 附近 治安 好 ， 公寓 有 doorman ， 收发 快递 也 方便 。,［ 治安 ］ 附近 治安 好 ， 公寓 有 门卫 ， 收发 快递 也 方便 。,"Public security: The neighborhood is good, the apartment has a doorman, express delivery is also convenient.",10.0,doorman,门卫,有,有,There are,There are,0.00332088859553227,,There are,doorman,There are doorman,det
39.0,CMU,76.0,an open-air shopping 经历 。,一 次 露天 购物 经历 。,An outdoor shopping experience.,1.0,an,一,经历,</s>,experience,</s>,0.0,,</s>,an,</s> an,det
40.0,CMU,79.0,（ 对比 其他 地方 ， 可能 和 很多 人 share ， 并且 还 很 贵 ！,（ 对比 其他 地方 ， 可能 和 很多 人 共用 ， 并且 还 很 贵 ！,"(Compared to other places, it can be shared with many people, and it's expensive!",10.0,share,共用,贵,人,your,people,4.602757541422371e-05,,people,share,people share,NA
41.0,CMU,83.0,附近 neighborhood 非常 安静 也 非常 安全 ， 临近 富人 区 。,附近 街区 非常 安静 也 非常 安全 ， 临近 富人 区 。,"The neighborhood is very quiet and safe, close to a wealthy area.",2.0,neighborhood,街区,安静,附近,quiet,near,9.793101151962489e-06,,near,neighborhood,near neighborhood,nsubj
42.0,CMU,84.0,房子 目前 half furnished ，,房子 目前 装修 了 一半 ，,The house is now half finished.,3.0,half,装修,装修,目前,decorate,At present,9.926346508903929e-05,,At present,half,At present half,advmod
43.0,CMU,85.0,房子 目前 几乎 是 fully furnished ， 含 电视 ， 床 ， 书桌 ， 餐厅 大 桌子 ， 椅子 ， 生活 用品 基本 齐全 。,房子 目前 几乎 是 完整 装修 ， 含 电视 ， 床 ， 书桌 ， 餐厅 大 桌子 ， 椅子 ， 生活 用品 基本 齐全 。,"At present, the house is almost completely decorated, including TV, bed, desk, dining room table, chairs, basic complete daily necessities.",5.0,fully,完整,furnished,是,有家具的,is,3.35182423033736e-05,,is,fully,is fully,NA
44.0,CMU,87.0,想 找 1-2 间 带 家具 的 house room 或者 apartment room ，,想 找 1-2 间 带 家具 的 住宅 房间 或者 公寓 房间 ，,"Looking for 1-2 furnished house or apartment rooms,",8.0,house,住宅,room,的,房间,the,0.000238552613406657,,the,house,the house,obl
45.0,CMU,89.0,房间 是 一 栋 house 的 顶层 ， 非常 宽敞 。,房间 是 一 套 房子 的 顶层 ， 非常 宽敞 。,"The room is the top floor of a house, very spacious.",4.0,house,套,一,一,one,one,9.98896317500174e-05,,one,house,one house,nmod
46.0,CMU,92.0,budget 灵活 。,资金 灵活 。,Money is flexible.,1.0,budget,资金,灵活,</s>,flexible,</s>,0.0,,</s>,budget,</s> budget,NA
47.0,CMU,93.0,客厅 超大 ， walk-in closet 也 很 大 。,客厅 超大 ， 步入 式 衣柜 也 很 大 。,The living room is huge and the walk-in closet is huge.,4.0,walk-in,步入,。,，,.,",",0.182977211725699,,",",walk-in,", walk-in",NA
48.0,CMU,95.0,如果 感 兴趣 ， 请 通过 email 联系 em@7,如果 感 兴趣 ， 请 通过 邮箱 联系 em@7,"If you are interested, please contact em@7",7.0,email,邮箱,联系,通过,contact,through,0.00016452409935296998,,through,email,through email,NA
49.0,CMU,97.0,leasing office 就 在 lobby ， 员工 也 非常 好 ， 有 什么 问题 随时 可以 找 他们 沟通 解决 。,租约 办公室 就 在 大堂 ， 员工 也 非常 好 ， 有 什么 问题 随时 可以 找 他们 沟通 解决 。,"The leasing office is in the lobby, and the staff is very nice. If you have any problems, you can always contact them to solve them.",1.0,leasing,租约,office,</s>,办公室,</s>,0.0,,</s>,leasing,</s> leasing,compound
50.0,CMU,98.0,房东人 很 nice 。,房东人 很 好 。,The landlord was very nice.,3.0,nice,好,好,很,good,very,0.000264690312334569,,very,nice,very nice,root
51.0,CMU,99.0,由 正规 公司 管理 ， 欢迎 email 联系 咨询 详细 。,由 正规 公司 管理 ， 欢迎 发 邮件 联系 咨询 详细 。,"By the regular company management, welcome to email contact consultation details.",7.0,email,发,欢迎,欢迎,welcome,welcome,0.00016452409935296998,,welcome,email,welcome email,advcl
52.0,CMU,102.0,卧室 内 家具 齐全 ， queen size 床 ， 拎包 入住 。,卧室 内 家具 齐全 ， 标准 双人床 ， 拎包 入住 。,"Bedrooms are fully furnished, standard double bed, move-in bag.",6.0,queen,标准,size,，,大小,.,3.917240460785e-06,,.,queen,. queen,NA
53.0,CMU,103.0,有 indoor 和 outdoor 的 停车场 ， 而且 周围 的 街区 都 可以 免费 街趴 。,有 室内 和 室外 的 停车场 ， 而且 周围 的 街区 都 可以 免费 街趴 。,"There's indoor and outdoor parking, and there's free parking in the surrounding neighborhood.",2.0,indoor,室内,outdoor,有,户外,There are,0.00332088859553227,,There are,indoor,There are indoor,amod
54.0,CMU,107.0,我 是 刚 毕业 没 多久 的 young professional ， 安静 好 相处 ， 会 居家 也 爱 出去 浪 。,我 是 刚 毕业 没 多久 的 年轻 工作者 ， 安静 好 相处 ， 会 居家 也 爱 出去 浪 。,I am a young worker who has just graduated. I am quiet and easy to get along with. I will stay at home and love to go out.,8.0,young,年轻,professional,的,专业,the,3.76662021168406e-05,,the,young,the young,amod
55.0,CMU,108.0,整个 公寓 总共 两 人 share ， 两 人 比较 好 协调 。,整个 公寓 总共 两 人 共用 ， 两 人 比较 好 协调 。,"The whole apartment is shared by two people in total, so they are better coordinated.",6.0,share,共用,人,人,people,people,4.602757541422371e-05,,people,share,people share,aux:pass
56.0,CMU,110.0,户型 ： 一 楼 是 超大 living room ， dining room ， sun room 及 厨房 。,户型 ： 一 楼 是 超大 客厅 ， 餐厅 ， 阳光 房及 厨房 。,"Type: The first floor is a large living room, dining room, sun room and kitchen.",7.0,living,客厅,客厅,超大,The sitting room,Very large,4.15204799767485e-05,,Very large,living,Very large living,compound
57.0,CMU,117.0,还有 其他 utility 吗 ？,还有 其他 设施 或 服务 吗 ？,Are there any other facilities or services?,3.0,utility,设施,？,其他,?,other,0.0152664078685359,,other,utility,other utility,NA
58.0,CMU,119.0,大家 住 过 house 就 知道 房东 有 多 重要 了 ！,大家 住 过 整套 房子 就 知道 房东 有 多 重要 了 ！,"If you've lived in an entire house, you know how important landlords are!",4.0,house,整套,就,过,it,pass,9.98896317500174e-05,,pass,house,pass house,obl
59.0,CMU,124.0,house 出租 2018 .,房屋 出租 2018 。,Housing for rent 2018.,1.0,house,房屋,出租,</s>,rent,</s>,0.0,,</s>,house,</s> house,NA
60.0,CMU,125.0,房型 ： house 一 层 ， 与 二 层 完全 独立 。,房型 ： 房屋 一 层 与 二 层 完全 独立 。,Room type: The first and second floors of the house are completely independent.,3.0,house,房屋,完全,：,completely,:,9.98896317500174e-05,,:,house,: house,nmod
61.0,CMU,134.0,餐厅 和 deck 之前 是 全 景 玻璃 门 。,餐厅 和 露台 之前 是 全 景 玻璃 门 。,The dining room and terrace are fronted by full-view glass doors.,3.0,deck,露台,门,和,The door,and,5.87586069117749e-06,,and,deck,and deck,NA
62.0,CMU,140.0,风水 宝地 ， 楼 主 正是 在 这里 面试 并 拿到 玄学 公司 的 offer ！,风水 宝地 ， 楼 主 正是 在 这里 面试 并 拿到 玄学 公司 的 录取 ！,"Geomantic treasure ground, building advocate is here interview and take the admission of metaphysical company!",15.0,offer,录取,面试,的,The interview,the,6.277700352806761e-05,,the,offer,the offer,case
63.0,CMU,143.0,需要 房子 的 朋友 请 联系 我 呀 ， 这个 房子 依然 available 。,需要 房子 的 朋友 请 联系 我 呀 ， 这个 房子 依然 可 租 。,"If you need a house, please contact me. This house is still available for rent.",13.0,available,可,。,依然,.,still,6.0688204236036705e-05,,still,available,still available,det
64.0,CMU,145.0,且 在 寒冷 的 匹兹堡 cover 所有 暖气 费 ！,且 在 寒冷 的 匹兹堡 包含 所有 暖气 费 ！,And that includes all the heating in cold Pittsburgh!,6.0,cover,包含,包含,匹兹堡,contains,Pittsburgh,3.8193094492653704e-05,,Pittsburgh,cover,Pittsburgh cover,NA
65.0,CMU,146.0,租 新房 还 得 大 冬天 往返 宜家 搬家 具 组装 家具 ， 折腾 一 遍 签 合同 接 电网 的 手续 ， 来 这 直接 拎包 入住 ， so easy ！,租 新房 还 得 大 冬天 往返 宜家 搬家 具 组装 家具 ， 折腾 一 遍 签 合同 接 电网 的 手续 ， 来 这 直接 拎包 入住 ， 很 方便 ！,"Renting a new house also have to go back and forth in winter IKEA furniture assembly, toss over the contract with the power grid procedures, to this direct bag check-in, very convenient!",30.0,so,很,easy,，,容易,.,0.00159431686753949,,.,so,. so,NA
66.0,CMU,150.0,房间 宽敞 ， 客厅 更大 ， 可 开 party ， 卧室 里 各 式 家具 齐全 ， 拎包 入住 。,房间 宽敞 ， 客厅 更大 ， 可 开 派对 ， 卧室 里 各 式 家具 齐全 ， 拎包 入住 。,"Spacious room, living room is bigger, can hold a party, the bedroom all kinds of furniture is complete, move-in bag.",9.0,party,派对,开,开,open,open,9.89103216348211e-05,,open,party,open party,det
67.0,CMU,151.0,欢迎 text ， 不 能 时时 接 电话 。,欢迎 来 短信 ， 不 能 时时 接 电话 。,"Welcome to SMS, can not always answer the phone.",2.0,text,来,欢迎,欢迎,welcome,welcome,2.350344276471e-05,,welcome,text,welcome text,NA
68.0,CMU,156.0,utility 不 包 。,公用 事业 不 包 。,Utilities are not covered.,1.0,utility,公用,不,</s>,Don’t,</s>,0.0,,</s>,utility,</s> utility,NA
69.0,CMU,162.0,门口 有 bus 到 中国 店 等 。,门口 有 公交 到 中国 店 等 。,There is a bus to the China store and so on.,3.0,bus,公交,有,有,There are,There are,0.00332088859553227,,There are,bus,There are bus,nsubj
70.0,CMU,170.0,main office 就 在 地下 一 楼 ， 咨询 非常 方便 。,总 办公室 就 在 地下 一 楼 ， 咨询 非常 方便 。,The main office is on the ground floor. It's very convenient for enquiries.,1.0,main,总,office,</s>,办公室,</s>,0.0,,</s>,main,</s> main,amod
71.0,CMU,171.0,我 希望 租 一 个 房间 前 一 整 年 lease 。,我 希望 租 一 个 房间 前 一 整 年 的 租期 。,I want a full year's lease before I rent a room.,11.0,lease,的,前,年,before,years,2.350344276471e-05,,years,lease,years lease,det
72.0,CMU,177.0,全新 的 宜家 买 的 twin size 的 床 和 书桌 柜子 ， 房间 内 有 closet 。,全新 的 宜家 买 的 小 单人床 的 床 和 书桌 柜子 ， 房间 内 有 衣柜 。,Brand new IKEA bought small single bed and desk cabinet with wardrobe inside the room.,6.0,twin,小,size,的,大小,the,2.5110801411226998e-05,,the,twin,the twin,NA
73.0,CMU,178.0,pn-3 call 或者 text 都 阔 以 。,pn-3 打 电话 或者 发 短信 都 阔 以 。,PN-3 is a great way to make phone calls or send text messages.,2.0,call,打,打,pn-3,play,pn-3,0.00013906203635786698,,pn-3,call,pn-3 call,det
74.0,CMU,180.0,我俩 都 是 刚 毕业 没 多久 的 young professional ， 安静 好 相处 ， 会 居家 也 爱 出去 浪 。,我俩 都 是 刚 毕业 没 多久 的 年轻 职员 ， 安静 好 相处 ， 会 居家 也 爱 出去 浪 。,Both of us are young employees who have just graduated. We are quiet and easy to get along with. We also like to go out at home.,9.0,young,年轻,professional,的,专业,the,3.76662021168406e-05,,the,young,the young,amod
75.0,CMU,185.0,可以 share 大部分 家用 电器 ， 厨房 用品 ， 家具 等 。,可以 共用 大部分 家用 电器 ， 厨房 用品 ， 家具 等 。,"Can share most household appliances, kitchen supplies, furniture, etc.",2.0,share,共用,电器,可以,Electrical appliances,can,4.602757541422371e-05,,can,share,can share,root
76.0,CMU,190.0,一 楼 还 有 一 个 健身房 ， 及 vending machine + 小 食品 店 ， 深夜 饿 了 买 吃 的 方便 。,一 楼 还 有 一 个 健身房 ， 及 自动 售卖 机和 小 食品 店 ， 深夜 饿 了 买 吃 的 方便 。,"There is also a gym on the first floor, a vending machine and a small food shop for people who are hungry late at night.",10.0,vending,自动,machine,及,机,and,2.93793034558875e-06,,and,vending,and vending,compound
77.0,CMU,193.0,家具 ： 整个 house 家具 齐全 ， 出租 卧室 家具 齐全 ， 可以 打包 低价 转让 ， 方便 拎包 入住 。,家具 ： 整个 房子 家具 齐全 ， 出租 卧室 家具 齐全 ， 可以 打包 低价 转让 ， 方便 拎包 入住 。,"Furniture: the whole house is fully furnished, the rental bedroom is fully furnished, can be packed low transfer, easy to carry a bag to stay.",4.0,house,房子,齐全,整个,complete,The whole,7.82729848620047e-05,,The whole,house,The whole house,nsubj:pass
78.0,CMU,201.0,卧室 里 有 一 个 queen bed ， 凉台 上 又 一 个 twin bed 。,卧室 里 有 一 个 标准 双人床 ， 凉台 上 又 一 个 单人床 。,The bedroom has a standard double bed and a single bed on the verandah.,6.0,queen,标准,bed,个,床上,a,3.917240460785e-06,,a,queen,a queen,NA
79.0,CMU,203.0,两 个 block 内 有 各 种 吃 = 的 ， 银行 和 小 超市 。,两 个 街区 内 有 各 种 吃 = 的 ， 银行 和 小 超市 。,"There's all kinds of food within two blocks, a bank and a small supermarket.",3.0,block,街区,有,个,There are,a,7.439811921554621e-05,,a,block,a block,NA
80.0,CMU,204.0,about apt ： 两 室 一 厅 ， 一 个 卫生间 ， 空间 很大 ， 朝向 为 南 ， 所以 有 充足 的 阳光 。,关于 公寓 ： 两 室 一 厅 ， 一 个 卫生间 ， 空间 很大 ， 朝向 为 南 ， 所以 有 充足 的 阳光 。,"About the apartment: two bedrooms, one living room, one bathroom, the space is large, the orientation is south, so there is plenty of sunshine.",1.0,about,关于,apt,</s>,恰当的,</s>,0.0,,</s>,about,</s> about,case
81.0,CMU,206.0,bedroom ， den ， 和 hallway 均 有 closet 3 .,卧室 ， 小 房间 ， 和 门廊 都 有 衣柜 。,"There are closets in the bedroom, closet, and porch.",1.0,bedroom,卧室,closet,</s>,衣橱,</s>,0.0,,</s>,bedroom,</s> bedroom,compound
82.0,CMU,208.0,同 问 楼主 这个 house 现在 还 在 招租 吗 ？,同 问 楼主 这个 房子 现在 还 在 招租 吗 ？,Is this house still available for rent?,5.0,house,房子,在,这个,in,this,9.98896317500174e-05,,this,house,this house,nsubj
83.0,CMU,209.0,洗 手间 春天 刚 remodel 过 很 干净 。,洗 手间 春天 刚 改造 过 很 干净 。,The washroom was freshly renovated in the spring and was very clean.,5.0,remodel,改造,干净,刚,clean,just,1.9586202303925e-06,,just,remodel,just remodel,NA
84.0,CMU,210.0,公寓 有 free parking 。,公寓 有 免费 停车场 。,The apartment has free parking.,3.0,free,免费,parking,有,停车,There are,4.12532744786617e-05,,There are,free,There are free,amod
85.0,CMU,211.0,manager 很 nice ， 有 问题 会 及时 给 解决 。,经理 很 好 ， 有 问题 会 及时 给 解决 。,The manager is very kind and will solve any problems in time.,1.0,manager,经理,nice,</s>,不错的,</s>,0.0,,</s>,manager,</s> manager,nsubj
86.0,CMU,212.0,洗衣房 在 basement ；,洗衣房 在 地下室 ；,The laundry room is in the basement;,3.0,basement,地下室,洗衣房,在,Laundry room,in,3.35171188684621e-05,,in,basement,in basement,root
87.0,CMU,214.0,楼道 building manager 和蔼可亲 。,楼道 物业 经理 和蔼可亲 。,The corridor property manager is amiable.,2.0,building,物业,manager,楼道,经理,corridor,0.000145917207164241,,corridor,building,corridor building,NA
88.0,CMU,216.0,room : 超大 空间 ， 包 家具 ， 直接 入住 。,房间 ： 超大 空间 ， 包 家具 ， 直接 入住 。,"Rooms: Extra large space, including furniture, direct check-in.",1.0,room,房间,包,</s>,package,</s>,0.0,,</s>,room,</s> room,NA
89.0,CMU,218.0,附近 house 的 地下室 或者 车库 都 是 可以 的 。,附近 房子 的 地下室 或者 车库 都 是 可以 的 。,A basement or garage in a nearby house is fine.,2.0,house,房子,车库,附近,The garage,near,9.98896317500174e-05,,near,house,near house,nmod
90.0,CMU,219.0,家具 ： queen size 床 ， 桌子 转椅 台灯 ， 有 吊扇 和 顶灯 。,家具 ： 标准 双人床 ， 桌子 转椅 台灯 ， 有 吊扇 和 顶灯 。,"Furniture: Standard double bed, table swivel chair lamp, ceiling fan and ceiling light.",3.0,queen,标准,size,：,大小,:,3.917240460785e-06,,:,queen,: queen,NA
