sent_type,university,sent_id,aligned_to,original_sentence,eng_translation,zh_translation,cs_word_id,first_cs_word_form,first_cs_word_translation,preceding_word,preceding_word_translation,ngram_eng,ngram_zh,dep_eng,dep_zh ,word_freq_zh,non_log_word_freq_zh,neg_base_e_word_freq_zh,base_e_word_freq_zh,word_freq_eng,non_log_word_freq_eng,neg_base_e_word_freq_eng,base_e_word_freq_eng,cs_word_pos_zh,cs_word_pos_eng,cs_word_length_zh,cs_word_length_eng,sentence_length_zh,ngram_surp_zh,base_2_ngram_prob_zh,raw_ngram_prob_zh,base_10_ngram_prob_zh,base_10_ngram_surp_zh,retrained_ngram_surp_zh,dep_surp_zh,gt_ngram_surp_eng,ngram_surp_eng,base_2_ngram_prob_eng,raw_ngram_prob_eng,base_10_ngram_prob_eng,base_10_ngram_surp_eng,dep_surp_eng,zh_word_index,cs_back_word,google_trans_surp_zh,fanyi_trans_surp_zh,llm_surp_zh,llm_surp_eng,,governor_first_cs_word_trans,deprel_first_cs_word_trans,surprisal_values,average_surprisal,bilingual_corpus_frequency_negative_log_first_cs_word,bilingual_corpus_frequency_negative_log_first_cs_word_trans,length_first_cs_word_form,dependency_distance,if_it_is_root,if_previous_word_is_punctuation,surprisal_of_previous_word,surprisal_first_cs_word_trans
code-switch,CMU,17,CMU_3964,有 兴趣 者 ， 请 email 短信 介绍 一下 自己 情况 。,"If interested, please email or SMS to introduce yourself.",有 兴趣 者 ， 请 发送 短信 介绍 一下 自己 情况 。,6,email,发送,请,please,please email,请 发送,root email,ccomp 有 发送,55.80660998892390,0.00000000000000,-38.68219437043110,38.68219437043110,18.2410044,0.0000032,-12.6437008,12.6437008,VV,NN,2,5,12,18.0199003,-18.0199003,0.0000038,-5.4245305,5.4245305,7.1598167,1.6549101,17.2093468246356,17.8308856,-17.8308856,0.0000043,-5.3676314,5.3676314,6.1919107,5,短信,23.8084323928971,23.8084323928971,31.9098143577576,2.98299908638001,,0,root,2.715695 4.139023 3.022636 0.6238034 3.313639 5.355831 1.836648 4.805568 3.053878 1.931871 4.49036 0.7784541,3.0056172083333300,7.630218513876140,10.220485679322000,5,0,1,0,3.313639,5.355831
code-switch,CMU,18,CMU_5422,半山 独 栋 别墅 ， 自 带 车库 和 driveway 。,"Midway single-family villa, with garage and driveway.",半山 独 栋 别墅 ， 自 带 车库 和 私人 车道 。,10,driveway,私人,和,and,and driveway,和 私人,conj garage driveway,amod 私人 车道,53.10230415748260,0.00000000000000,-36.80771240799570,36.80771240799570,18.2046096,0.0000033,-12.6184738,12.6184738,JJ,NNP,2,8,12,12.325579,-12.325579,0.000195,-3.710369,3.710369,7.249384,2.4659207,26.0232937343039,26.023294,-26.023294,0.000000,-7.833792,7.833792,4.5789595,9,,4.75577656918293,10.009226799323,31.5902938842773,7.97049617767334,,11,amod,5.637844 5.678452 3.272605 2.500991 0.544068 3.147691 4.49099 5.980581 1.43785 3.668677 4.059361 1.085591,3.4587250833333300,12.012245148550000,10.402807236115900,8,1,0,0,1.43785,3.668677
code-switch,CMU,19,CMU_5757,一 楼 有 half bath 。,There’s a half bath on the first floor.,一 楼 有 半 浴室 。,4,half,半,有,There are,There are half,有 半,amod half bath,nummod 半 浴室,52.97425652203460,0.00000000000000,-36.71895655050760,36.71895655050760,12.20208583,0.00021223,-8.45784139,8.45784139,CD,NN,1,4,6,13.933515,-13.933515,0.000064,-4.194406,4.194406,7.2971773,2.5596662,14.1259258587193,12.860403,-12.860403,0.000134,-3.871367,3.871367,3.692798,3,,10.009226799323,24.4209597245781,23.1282730102539,11.1759996414185,,5,dep,2.791026 5.695485 2.147275 3.454723 5.558517 1.046625,3.448941833333330,10.066334999494700,8.967722710826590,4,1,0,0,2.147275,3.454723
code-switch,CMU,22,CMU_289,精装 修 家具 全 free 无线 上网 !,Free wireless Internet access!,精装 修 家具 全 免费 无线 上网 ！,5,free,免费,全,all,all free,全 免费,amod free access,advmod 免费 上网,55.04404519964220,0.00000000000000,-38.15362473674620,38.15362473674620,12.35123071,0.00019139,-8.56122074,8.56122074,JJ,JJ,2,4,8,17.1862564,-17.1862564,0.0000067,-5.1735787,5.1735787,6.6978993,3.436875,11.1360218193735,17.814620,-17.814620,0.000004,-5.362735,5.362735,2.8117666,4,无线,19.6984977756804,23.8084323928971,26.1656122207642,0.0,,7,amod,5.804013 4.939471 5.585263 3.700925 5.015528 2.859978 0.5855799 4.771749,4.1578133625,8.9212026951917,7.721785707401630,4,2,0,0,3.700925,5.015528
code-switch,CMU,25,CMU_3463,对比 其他 地方 ， 可能 和 很多 人 share ， 并且 还 很 贵 ！,"Compared to other places, it may be shared with many people, and it is very expensive!",对比 其他 地方 ， 可能 和 很多 人 共用 ， 并且 还 很 贵 ！,9,share,共用,人,people,people share,人 共用,root share,advcl 共用  贵,57.7909257112167,0.0000000000000,-40.0576172186791,40.0576172186791,13.68798673,0.00007577,-9.48778941,9.48778941,JJ,NN,2,5,15,15.9050087,-15.9050087,0.0000163,-4.7878847,4.7878847,7.269732,4.2478914,20.5446360465134,11.6907333,-11.6907333,0.0003025,-3.5192614,3.5192614,3.4568233,8,并且,19.0239380875267,23.171557985823,34.2970581054688,13.5201368331909,,14,dep,4.759578 1.553222 1.825154 0.8829458 2.80618 2.275777 3.728692 1.283624 10.51329 1.197862 2.404721 2.04499 2.718947 6.129158 4.027408,3.210103253333330,7.7081800553458500,11.319097967990100,5,5,0,0,1.283624,10.16642
code-switch,CMU,26,CMU_7245,房东 非常 无敌 nice 还 会 帮忙 丢 垃圾 ！,The landlord is unbeatably nice also helps to throw away the garbage!,房东 非常 无敌 好 还会 帮忙 丢 垃圾 ！,4,nice,好,无敌,invincible,invincible nice,无敌 好,advmod unbeatable nice,advmod 好 丢,49.04016574954840,0.00000000000000,-33.99205262349190,33.99205262349190,14.9276009,0.0000321,-10.3470245,10.3470245,JJ,JJ,1,4,9,14.1900171,-14.1900171,0.0000535,-4.2716208,4.2716208,6.558925,3.1693678,17.4517967500625,17.52158,-17.52158,0.00001,-5.27452,5.27452,8.063031,3,还,23.8084323928971,23.8084323928971,8.42803001403809,6.55565929412842,,5,amod,6.258925 4.013741 6.440294 4.612996 10.51329 5.013268 5.531311 2.314101 3.42206,5.346665111111110,7.792737443373910,6.786498474836820,4,1,0,0,6.440294,4.612996
code-switch,CMU,30,CMU_288,户型 ： 一 楼 是 超大 living room ， dining room 及 厨房 ；,"Type: The first floor is a large living room, dining room and kitchen;",户型 ： 一 楼 是 超大 客厅 ， 餐厅 及 厨房 ；,7,living,客厅,超大,Very large,Very large living,超大 客厅,compound living room,root 客厅,57.1623695603126,0.0000000000000,-39.6219352948563,39.6219352948563,12.78389436,0.00014180,-8.86112033,8.86112033,NN,VBG,2,6,12,21.2252652,-21.2252652,0.0000004,-6.3894415,6.3894415,7.1670523,6.225622,12.2043339631207,14.1772198,-14.1772198,0.0000540,-4.2677684,4.2677684,3.344462,6,及,23.854045787568,23.8084323928971,27.9075522422791,8.11202239990234,,11,dep,6.482378 2.276336 2.337307 5.848589 1.85848 5.275753 6.825455 0.8922411 4.948161 2.290288 2.268386 2.668459,3.664319425000000,8.644949318563540,7.630218513876140,6,4,0,0,5.275753,6.825455
code-switch,CMU,31,CMU_7558,长 租 all gone ！,All gone!,长 租 全部 租出 ！,3,all,全部,租,rent,rent all,租 全部,advmod all gone,advmod 全部 租出,51.28617708186370,0.00000000000000,-35.54886904599190,35.54886904599190,8.94391847,0.00203054,-6.19945187,6.19945187,DT,DT,2,3,5,14.0331580,-14.0331580,0.0000596,-4.2244015,4.2244015,7.1670523,2.617348,10.2778913881179,15.4839400,-15.4839400,0.0000218,-4.6611304,4.6611304,2.5187721,2,,23.8084323928971,23.7843962499737,25.0177946090698,0.0,,4,det,3.13938 4.953151 4.537052 4.4051 4.382312,4.283399,9.815020571213800,9.527338498762020,3,1,0,0,4.953151,4.537052
code-switch,CMU,33,CMU_2815,暑期 短 租 还 available 哦 。,Short summer rental is available.,暑期 短 租 还 有 空的 哦 。,5,available,有,还,also,also available,还 有,root available,root 有,46.490996609160200,0.000000000000010,-32.225103221061400,32.225103221061400,12.78268378,0.00014192,-8.86028122,8.86028122,VE,JJ,1,9,8,13.1584508,-13.1584508,0.0001094,-3.9610884,3.9610884,5.225617,1.420219,27.5677909827408,27.165376,-27.165376,0.000000,-8.177593,8.177593,3.1592522,4,哦,23.977045822559,22.8760771324822,21.2761077880859,4.83091259002686,,8,dep,5.886802 4.559146 5.854287 2.365675 2.547122 10.51329 5.936751 1.335792,4.874858125000000,8.323365694436080,5.506461088421790,9,3,0,0,2.365675,2.547122
code-switch,CMU,35,CMU_252,有 pet 可以 商量 正规 物业 管理 ， pa 法律 规定 租房 合同 ， 保护 双方 权益 ， 安心 入住 。,"Having pets can be discussed with the formal property management, PA law stipulates the rental contract, protects the rights and interests of both sides, easy to stay.",有 宠物 可以 商量 正规 物业 管理 ， 宾 州 法律 规定 租房 合同 ， 保护 双方 权益 ， 安心 入住 。,2,pet,宠物,有,There are,There are pet,有 宠物,nsubj pet discuss,nsubj 宠物 入住,59.02146134926480,0.00000000000000,-40.91055952677070,40.91055952677070,17.0838095,0.0000072,-11.8415944,11.8415944,NN,NNP,2,3,22,22.0385526,-22.0385526,0.0000002,-6.6342654,6.6342654,7.481098,5.4116497,21.1764727496315,19.4016463,-19.4016463,0.0000014,-5.8404775,5.8404775,5.684024,1,可以,23.8887008058395,24.8516696268057,18.9026193618774,16.6817054748535,,4,nsubj,2.715695 5.679086 2.246461 5.10237 5.394323 5.486727 4.318769 1.058464 5.382254 4.218911 3.197847 1.394795 7.061756 2.432533 0.6128892 4.319332 4.51813 3.831482 0.7667135 5.8026 5.740441 0.9292497,3.7368558363636400,10.625950787430100,10.220485679322000,3,2,0,0,2.715695,5.679086
code-switch,CMU,36,CMU_4866,欢迎 email 联系 咨询 。,Welcome to contact us by email.,欢迎 发 邮件 联系 咨询 。,2,email,发,欢迎,welcome,welcome email,欢迎 发,obl contact email,nmod 发 邮件,50.39184903344860,0.00000000000000,-34.92896808073730,34.92896808073730,18.2410044,0.0000032,-12.6437008,12.6437008,VV,NN,1,5,6,17.3804922,-17.3804922,0.0000059,-5.2320495,5.2320495,6.8726544,4.630366,21.9572195303024,25.517696,-25.517696,0.000000,-7.681592,7.681592,3.6750517,1,联系,23.8084323928971,23.8084323928971,21.1322917938232,1.08554351329803,,1,ccomp,5.269867 5.297529 5.67024 3.218899 5.395529 1.307169,4.359872166666670,7.630218513876140,8.716408282545690,5,1,0,0,5.269867,5.297529
code-switch,CMU,45,CMU_4251,所有 想 寄 想 return 的 东西 ， 直接 放在 公寓 一 楼 就 可以 。,All the things that you want to send or return can be put directly on the first floor of the apartment.,所有 想 寄 想 退还 的 东西 ， 直接 放在 公寓 一 楼 就 可以 。,5,return,退还,想,Want to,Want to return,想 退还,obj send return,acl:relcl 退还 东西,56.470825260934500,0.000000000000000,-39.142593313510100,39.142593313510100,12.82583017,0.00013773,-8.89018802,8.89018802,VV,NN,2,6,16,20.0877733,-20.0877733,0.0000009,-6.0470223,6.0470223,7.2278123,5.5334845,16.1495653922361,12.8251631,-12.8251631,0.0001378,-3.8607588,3.8607588,5.083554,4,的,13.4746582015958,23.977045822559,26.5230684280396,9.80764484405518,,4,ccomp,3.213507 3.934522 5.699054 4.474885 6.251147 1.292597 3.490744 0.5892994 3.87222 2.438411 4.422504 2.84408 5.442994 3.865702 1.408872 2.358855,3.4749620875,11.319097967990100,12.012245148550000,6,1,0,0,4.474885,6.251147
code-switch,CMU,46,CMU_2975,免费 送 顶楼 view 和 顶楼 的 阳光 普照 !,Free delivery of top floor view and top floor sunshine!,免费 送 顶楼 景观 和 顶楼 的 阳光 普照 ！,4,view,景观,顶楼,The top floor,The top floor view,顶楼 景观,nmod delivery view,obj 送 景观,55.46687824003870,0.00000000000000,-38.44671026654460,38.44671026654460,12.4080958,0.0001840,-8.6006366,8.6006366,NN,NN,2,4,10,17.163422,-17.163422,0.000007,-5.166705,5.166705,7.1598167,5.2231584,18.1487860967129,15.893227,-15.893227,0.000016,-4.784338,4.784338,4.2273364,3,和,24.0819323802269,11.3506213640385,19.8927111625671,9.46475791931152,,6,conj,4.772542 5.323745 6.185939 5.143289 1.736748 5.847033 0.9520925 4.386751 4.060257 4.275425,4.26838215,10.220485679322000,12.012245148550000,4,2,0,0,6.185939,5.143289
code-switch,CMU,49,CMU_3821,bathroom : 二 楼 和 地下室 各 有 一 个 卫生间,Bathroom: There's one on the second floor and one in the basement,浴室 ： 二 楼 和 地下室 各 有 一 个 卫生间,1,bathroom,浴室,<s>,<s>,<s> bathroom,<s> 浴室,root bathroom,root 浴室,58.288939660911200,0.000000000000000,-40.402814183789400,40.402814183789400,16.7143143,0.0000093,-11.5854798,11.5854798,NN,NNP,2,8,11,19.870136,-19.870136,0.000001,-5.981507,5.981507,7.3514414,6.2402983,27.4008541301884,27.400854,-27.400854,0.000000,-8.248479,8.248479,6.766135,0,二,24.4209597245781,24.4209597245781,17.5909194946289,0.0,,8,nmod:topic,5.886802 3.196947 3.777291 1.955524 1.840524 4.842676 4.231431 1.233011 0.6812197 5.503237 4.93294,3.4619638818181800,8.61104776688786,9.709660055555970,8,7,0,,,5.886802
code-switch,CMU,53,CMU_7651,适合 couple 或 单身 居住 。,Suitable for couples or single.,适合 情侣 或 单身 居住 。,2,couple,情侣,适合,Suitable for,Suitable for couple,适合 情侣,obl Suitable couples,nsubj 情侣 居住,59.49959250864060,0.00000000000000,-41.24197479182990,41.24197479182990,14.4578366,0.0000444,-10.0214087,10.0214087,NN,NN,2,6,6,20.1097325,-20.1097325,0.0000009,-6.0536327,6.0536327,7.1670523,5.374623,17.9675682752806,16.0182187,-16.0182187,0.0000151,-4.8219643,4.8219643,5.4136434,1,或,23.8084323928971,23.8084323928971,20.6778526306152,10.1135921478271,,5,conj,5.100725 5.668503 1.859549 5.150689 2.683036 1.249253,3.618625833333330,9.614349875751650,10.913632859881900,6,3,0,0,5.100725,5.668503
code-switch,CMU,56,CMU_4559,有 车库 ， off street parking .,"There's a parking garage, Off Street Parking.",有 车库 ， 路 外 停车场 。,4,off,路,，,.,. off,， 路,case off parking,conj 车库 路,51.85408910972870,0.00000000000000,-35.94251566691260,35.94251566691260,11.47062199,0.00035237,-7.95082929,7.95082929,NN,IN,1,3,7,14.47985,-14.47985,0.00004,-4.35887,4.35887,6.757104,4.889943,11.2193846083363,11.2193846,-11.2193846,0.0004194,-3.3773713,3.3773713,2.927836,3,,24.168933677032,24.0266830687312,18.1699829101563,10.1261405944824,,6,compound:nn,2.715695 5.391269 0.6238034 4.854201 3.759812 5.10788 0.794089,3.3209642000000000,10.402807236115900,11.319097967990100,3,2,0,1,5.391269,4.854201
code-switch,CMU,57,CMU_5972,要求 ： no smoking ， no pets ， no parties .,"Requirement: No smoking, no pets, no parties.",要求 ： 禁止 吸烟 ， 禁止 宠物 入内 ， 禁止 举办 派对 。,3,no,禁止,：,:,: no,： 禁止,det no smoking,advcl 禁止 禁止,53.28456356773150,0.00000000000000,-36.93404500434030,36.93404500434030,9.61898761,0.00127173,-6.66737414,6.66737414,VV,UH,2,2,13,11.3829441,-11.3829441,0.0003744,-3.4266076,3.4266076,7.8777566,3.5633063,11.8419285498018,11.8419285,-11.8419285,0.0002724,-3.5647757,3.5647757,2.2626789,2,,26.145304831301,24.3055645795747,19.7982473373413,7.70233488082886,,1,ccomp,4.813935 2.389885 4.489005 2.324238 1.189265 3.993038 4.671572 10.51329 1.197862 3.924692 3.516026 3.472183 0.7998947,3.638068130769230,9.614349875751650,12.012245148550000,2,2,0,1,4.813935,4.489005
code-switch,CMU,62,CMU_2757,house 里面 有 一 个 shared kitchen 和 dining room ， 烤箱 微波炉 洗衣机 都 有 ， 餐具 也 可以 和 家 里 其他 人 share 。,"There is a shared kitchen and dining room in the house, with oven, microwave and washing machine. Tableware can also be shared with other people in the house.",房子 里面 有 一 个 公共 厨房 和 餐厅 ， 烤箱 微波炉 洗衣机 都 有 ， 餐具 也 可以 和 家 里 其他 人 共用 。,1,house,房子,<s>,<s>,<s> house,<s> 房子,nmod people house,nmod 房子 里面,53.96242516285600,0.00000000000000,-37.40390285781070,37.40390285781070,11.97831148,0.00024784,-8.30273283,8.30273283,NN,NNP,2,5,26,18.326160,-18.326160,0.000003,-5.516724,5.516724,7.0391965,4.729782,27.5266455813575,29.202515,-29.202515,0.000000,-8.790833,8.790833,2.6714833,0,里面,24.2842045819246,23.3837046187828,16.2947545051575,5.6569356918335,,2,compound:nn,5.512905 2.721907 1.338366 1.053606 5.503237 3.350423 4.166602 1.306866 1.338908 0.6962472 6.954485 6.483206 6.454674 2.329598 1.13947 1.940914 6.059272 1.748957 1.555099 2.230852 4.266731 3.600037 3.54543 3.374271 10.51329 1.427697,3.4851173153846100,6.694125154705800,7.084991463392810,5,1,0,,,5.512905
